,make,model,year,body_type,mileage,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price
39,BMW,X2,2019.0,SUV,80686.0,Alb,Benzina,1499.0,140.0,Automata,Fata,Euro 6,19490.0
40,Mercedes-Benz,A,2014.0,Compacta,222376.0,Gri,Diesel,1461.0,109.0,Automata,Fata,Euro 5,11390.0
41,Volkswagen,Tiguan,2013.0,SUV,221000.0,Alb,Diesel,1968.0,177.0,Automata,4x4 (automat),Euro 5,13890.0
42,Opel,Grandland X,2018.0,SUV,211000.0,Alb,Diesel,1997.0,177.0,Automata,Fata,Euro 6,12999.0
43,BMW,X3,2021.0,SUV,120000.0,Negru,Hibrid Plug-In,1998.0,292.0,Automata,4x4 (automat),Euro 6,27950.0
44,Renault,Megane,2019.0,Sedan,121036.0,Gri,Benzina,1332.0,140.0,Manuala,Fata,Euro 6,11450.0
45,Hyundai,ix35,2010.0,SUV,206000.0,Gri,Diesel,1995.0,184.0,Automata,4x4 (manual),Euro 5,8499.0
46,Volvo,XC 60,2015.0,SUV,283000.0,Alb,Diesel,1969.0,150.0,Manuala,Fata,Euro 6,11999.0
47,Volkswagen,Golf,2017.0,Combi,184000.0,Gri,Diesel,1968.0,184.0,Automata,Fata,Euro 6,13990.0
48,BMW,X6,2021.0,SUV,131200.0,Maro,Benzina,2998.0,333.0,Automata,4x4 (automat),Euro 6,65969.2
49,Audi,A6,2014.0,Combi,298000.0,Argint,Diesel,2967.0,313.0,Automata,4x4 (automat),Euro 5,13500.0
50,Renault,Megane,2019.0,Combi,160000.0,Alb,Diesel,1461.0,116.0,Automata,Fata,Euro 6,10298.31
51,Renault,Austral,2024.0,SUV,7931.0,Negru,Benzina,1332.0,160.0,Automata,Fata,Euro 6,26700.0
52,Renault,Austral,2024.0,SUV,15334.0,Negru,Benzina,1332.0,160.0,Automata,Fata,Euro 6,26300.0
53,Mercedes-Benz,E,2024.0,Sedan,10006.0,Argint,Benzina,1999.0,204.0,Automata,Spate,Euro 6d,64899.56
54,Audi,Q7,2016.0,SUV,108200.0,Negru,Diesel,2967.0,272.0,Automata,4x4 (automat),Euro 6,28990.0
55,BMW,Seria 5,2021.0,Sedan,120015.0,Negru,Diesel,1995.0,190.0,Automata,4x4 (automat),Euro 6,35077.9
56,Mercedes-Benz,GLE Coupe,2017.0,SUV,113600.0,Alb,Diesel,2987.0,258.0,Automata,4x4 (automat),Euro 6,43547.9
57,Mercedes-Benz,G,2019.0,SUV,112000.0,Alb,Diesel,2925.0,285.0,Automata,4x4 (automat),Euro 6,99000.0
58,Mercedes-Benz,GLE Coupe,2020.0,SUV,129550.0,Negru,Diesel,2925.0,330.0,Automata,4x4 (automat),Euro 6,72587.9
59,Mercedes-Benz,CLA,2019.0,Sedan,171800.0,Negru,Benzina,1991.0,190.0,Automata,4x4 (automat),Euro 6,26600.0
60,Volvo,XC 60,2019.0,SUV,92700.0,Negru,Hibrid Plug-In,1969.0,390.0,Automata,4x4 (automat),Euro 6b,28497.92
61,Volkswagen,Passat CC,2013.0,Sedan,198000.0,Maro,Diesel,1968.0,143.0,Automata,Fata,Euro 5,10450.0
62,Volvo,V60,2019.0,Combi,179000.0,Gri,Diesel,1969.0,150.0,Automata,Fata,Euro 6,17590.0
63,BMW,X3,2012.0,SUV,220354.0,Negru,Diesel,1995.0,184.0,Automata,4x4 (automat),Euro 5,12990.0
64,Mercedes-Benz,GLE,2016.0,SUV,147000.0,Alb,Benzina,2996.0,367.0,Automata,4x4 (automat),Euro 6,39500.0
65,Volkswagen,Passat Alltrack,2018.0,Combi,153757.0,Alb,Diesel,1968.0,190.0,Automata,4x4 (automat),Euro 6,19500.0
66,Cupra,Formentor,2025.0,SUV,2900.0,Verde,Benzina,1984.0,333.0,Automata,4x4 (automat),Euro 6,54950.0
67,Volkswagen,Tiguan,2023.0,SUV,130254.0,Rosu,Diesel,1968.0,150.0,Automata,4x4 (automat),Euro 6,25900.0
68,Volkswagen,Polo,2020.0,Compacta,100000.0,Alb,Benzina,999.0,80.0,Manuala,Fata,Euro 6,10490.0
69,Dacia,Duster,2020.0,SUV,27663.0,Alb,Diesel,1461.0,115.0,Manuala,4x4 (automat),Euro 6,15750.0
70,BMW,X3,2020.0,SUV,98299.0,Gri,Hibrid Plug-In,1998.0,292.0,Automata,4x4 (automat),Euro 6,31989.99
71,Renault,Trafic,2015.0,Monovolum,217000.0,Verde,Diesel,1598.0,145.0,Manuala,Fata,Euro 6,12000.0
72,Mercedes-Benz,GLE Coupe,2020.0,SUV,135620.0,Gri,Hibrid Plug-In,1950.0,319.0,Automata,4x4 (manual),Euro 6,56900.0
73,Nissan,X-Trail,2014.0,SUV,153000.0,Alb,Diesel,1598.0,130.0,Manuala,4x4 (manual),Euro 5,11650.0
74,Mercedes-Benz,E,2019.0,Sedan,105534.0,Negru,Hibrid Plug-In,1991.0,320.0,Automata,Spate,Euro 6d-Temp,31987.56
75,BMW,X1,2012.0,SUV,149598.0,Negru,Diesel,1995.0,184.0,Automata,4x4 (manual),Euro 5,12990.0
76,Skoda,Octavia,2019.0,Combi,173800.0,Argint,Benzina,1495.0,150.0,Automata,Fata,Euro 6,12990.0
77,Volkswagen,Golf,2020.0,Combi,206835.0,Albastru,Benzina,1498.0,150.0,Automata,Fata,Euro 6,13689.99
78,Mercedes-Benz,GLC Coupe,2024.0,SUV,15500.0,Alb,Diesel,1993.0,197.0,Automata,4x4 (automat),Euro 6d,60487.9
79,BMW,X5,2023.0,SUV,42575.0,Gri,Benzina,2998.0,381.0,Automata,4x4 (automat),Euro 6,79999.15
80,Hyundai,Tucson,2018.0,SUV,150000.0,Negru,Diesel,1685.0,141.0,Automata,Fata,Euro 6,14650.0
81,Renault,Megane,2016.0,Combi,192000.0,Gri,Diesel,1461.0,110.0,Manuala,Fata,Euro 6d-Temp,6790.0
82,Mercedes-Benz,CLA,2021.0,Coupe,56500.0,Negru,Hibrid Plug-In,1332.0,218.0,Automata,Fata,Euro 6,33498.85
83,Toyota,C-HR,2017.0,SUV,189000.0,Alb,Hibrid,1798.0,122.0,Automata,Fata,Euro 6,16999.0
84,Nissan,Qashqai,2016.0,SUV,179000.0,Gri,Diesel,1598.0,130.0,Manuala,4x4 (manual),Euro 6,9999.0
85,Renault,Talisman,2020.0,Compacta,129709.0,Rosu,Diesel,1997.0,160.0,Automata,Fata,Euro 6d-Temp,14950.0
86,Toyota,Corolla,2020.0,Combi,132800.0,Albastru,Hibrid,1798.0,122.0,Automata,Fata,Euro 6,17999.96
87,Volkswagen,Golf,2010.0,Compacta,198000.0,Albastru,Benzina,1390.0,80.0,Manuala,Fata,Euro 5,2950.0
88,Opel,Mokka,2014.0,SUV,203114.0,Rosu,Diesel,1686.0,130.0,Manuala,4x4 (automat),Euro 5,7100.0
89,Renault,Talisman,2017.0,Combi,96492.0,Alte culori,Diesel,1598.0,160.0,Automata,Fata,Euro 6,14990.0
90,BMW,X5,2022.0,SUV,139944.0,Negru,Hibrid Plug-In,2998.0,398.0,Automata,4x4 (automat),Euro 6,51299.99
91,Volkswagen,Touareg,2021.0,SUV,153900.0,Gri,Hibrid Plug-In,2995.0,381.0,Automata,4x4 (automat),Euro 6,42400.0
92,Mazda,CX-3,2018.0,SUV,179000.0,Alb,Benzina,1998.0,150.0,Automata,4x4 (automat),Euro 6,13989.0
93,Volvo,XC 60,2015.0,SUV,237000.0,Alb,Diesel,1969.0,190.0,Manuala,Fata,Euro 6,13590.0
94,Skoda,Scala,2020.0,Combi,165000.0,Albastru,Diesel,1598.0,115.0,Automata,Fata,Euro 6,11990.0
95,Kia,Sportage,2021.0,SUV,62800.0,Albastru,Diesel,1598.0,136.0,Automata,4x4 (automat),Euro 6c,19490.0
96,Ford,Kuga,2020.0,SUV,131000.0,Negru,Diesel,1996.0,190.0,Automata,4x4 (automat),Euro 6,18000.0
97,Audi,A6,2019.0,Sedan,140000.0,Gri,Diesel,2967.0,286.0,Automata,4x4 (automat),Euro 6,46000.0
98,BMW,Seria 4,2023.0,Coupe,31500.0,Albastru,Diesel,1995.0,190.0,Automata,Spate,Euro 6d-Temp,45980.0
99,Volkswagen,T-Cross,2021.0,SUV,68908.0,Gri,Benzina,999.0,110.0,Automata,Fata,Euro 6,19500.01
100,Mitsubishi,Eclipse-Cross,2022.0,SUV,92100.0,Alb,Hibrid Plug-In,2360.0,98.0,Automata,4x4 (automat),Euro 6,22900.0
101,Mitsubishi,Eclipse-Cross,2023.0,SUV,33100.0,Gri,Hibrid Plug-In,2360.0,98.0,Automata,4x4 (automat),Euro 6,25900.0
102,Lexus,Seria NX,2021.0,SUV,55938.0,Alb,Hibrid,2494.0,197.0,Automata,4x4 (automat),Euro 6,31989.98
103,Ford,Focus,2018.0,Combi,197000.0,Rosu,Diesel,1499.0,120.0,Automata,Fata,Euro 6,9249.24
104,Mercedes-Benz,A,2019.0,Sedan,156000.0,Negru,Diesel,1461.0,116.0,Automata,Fata,Euro 6,24998.6
105,BMW,Seria 1,2010.0,Coupe,198000.0,Negru,Diesel,1995.0,143.0,Manuala,Spate,Euro 5,4900.0
106,Renault,Arkana,2023.0,SUV,10728.0,Gri,Hibrid,1598.0,145.0,Automata,Fata,Euro 6,25773.0
107,Renault,Arkana,2023.0,SUV,24509.0,Rosu,Benzina,1333.0,158.0,Automata,Fata,Euro 6,24200.0
108,Audi,Q7,2018.0,SUV,149900.0,Maro,Diesel,2967.0,272.0,Automata,4x4 (automat),Euro 6b,25980.0
109,BMW,X1,2014.0,SUV,194000.0,Gri,Diesel,1995.0,184.0,Automata,4x4 (automat),Euro 5,9990.0
110,Hyundai,i40,2015.0,Combi,211000.0,Alb,Diesel,1685.0,141.0,Automata,Fata,Euro 6,8999.0
111,Hyundai,KONA,2021.0,SUV,22341.0,Verde,Benzina,998.0,120.0,Manuala,Fata,Euro 6d,14200.0
112,Toyota,C-HR,2024.0,SUV,18900.0,Alb,Hibrid,1987.0,152.0,Automata,4x4 (automat),Euro 6d-Temp,37249.85
113,Skoda,Kodiaq,2017.0,SUV,198074.0,Gri,Diesel,1968.0,150.0,Automata,4x4 (automat),Euro 6,19990.0
114,Audi,A4,2020.0,Combi,143096.0,Albastru,Diesel,1968.0,190.0,Automata,4x4 (automat),Euro 6,26990.01
115,Mercedes-Benz,A,2019.0,Masina de oras,113696.0,Gri,Benzina,1332.0,136.0,Automata,Fata,Euro 6d,20812.0
116,Renault,Trafic,2016.0,Monovolum,259000.0,Argint,Diesel,1598.0,125.0,Manuala,Fata,Euro 6,14590.0
117,BMW,Seria 5,2021.0,Sedan,116930.0,Alb,Benzina,1998.0,252.0,Automata,Spate,Euro 6,34998.04
118,Audi,A6,2020.0,Sedan,182717.0,Galben/Auriu,Diesel,1968.0,204.0,Automata,Fata,Euro 6,29990.0
119,Audi,A5,2016.0,Sedan,219000.0,Negru,Diesel,1968.0,190.0,Manuala,Fata,Euro 6,14990.0
120,Mercedes-Benz,C,2011.0,Sedan,148113.0,Alb,Benzina,1796.0,156.0,Automata,Spate,Euro 5,9950.0
121,Audi,Q7,2018.0,SUV,250000.0,Alb,Diesel,2967.0,286.0,Automata,4x4 (automat),Euro 6,32850.0
122,Honda,Civic,2020.0,Sedan,53000.0,Albastru,Benzina,1498.0,182.0,Automata,Fata,Euro 6,19800.0
123,Renault,Megane,2016.0,Sedan,81489.0,Gri,Benzina,1598.0,115.0,Manuala,Fata,Euro 6,9000.0
124,Hyundai,Grand Santa Fe,2015.0,SUV,255000.0,Alb,Diesel,2199.0,197.0,Automata,4x4 (automat),Euro 6,13990.0
125,Volvo,XC 40,2020.0,SUV,137500.0,Alte culori,Diesel,1969.0,150.0,Automata,4x4 (automat),Euro 6,22200.0
126,Volkswagen,Tiguan,2019.0,SUV,126000.0,Gri,Diesel,1968.0,190.0,Automata,4x4 (automat),Euro 6,18400.0
127,BMW,X3,2019.0,SUV,182507.0,Gri,Benzina,1998.0,184.0,Automata,4x4 (automat),Euro 6,24190.01
128,Skoda,Kodiaq,2020.0,SUV,160000.0,Albastru,Diesel,1968.0,200.0,Automata,4x4 (automat),Euro 6d,29282.0
129,Volvo,XC 60,2015.0,SUV,245475.0,Albastru,Diesel,1969.0,181.0,Automata,Fata,Euro 6,13500.0
130,Volvo,XC 60,2019.0,SUV,258750.0,Gri,Diesel,1969.0,190.0,Automata,Fata,Euro 6,23997.93
131,Volkswagen,Golf,2011.0,Masina mica,181659.0,Albastru,Benzina,1390.0,122.0,Manuala,Fata,Euro 5,6499.0
132,Porsche,Cayenne Coupe,2019.0,SUV,207000.0,Alb,Benzina,2995.0,340.0,Automata,4x4 (automat),Euro 6,41500.0
133,Volkswagen,Golf,2020.0,Masina mica,72000.0,Alb,Benzina,1498.0,150.0,Automata,Fata,Euro 6,18899.99
134,Skoda,Octavia,2021.0,Sedan,110751.0,Gri,Benzina,1498.0,150.0,Manuala,Fata,Euro 6,17450.0
135,Ford,S-Max,2016.0,Monovolum,202400.0,Gri,Diesel,1998.0,210.0,Automata,Fata,Euro 5,12499.0
136,Suzuki,Vitara,2016.0,SUV,163322.0,Alb,Diesel,1598.0,120.0,Manuala,4x4 (manual),Euro 6,11450.0
137,Toyota,RAV4,2021.0,SUV,98630.0,Gri,Hibrid,2487.0,178.0,Automata,Fata,Euro 6d,26400.01
138,Seat,Alhambra,2013.0,Monovolum,215391.0,Gri,Diesel,1968.0,140.0,Automata,Fata,Euro 6,11450.0
139,Hyundai,Tucson,2016.0,SUV,166759.0,Negru,Benzina,1591.0,177.0,Manuala,4x4 (automat),Euro 6,13450.0
140,Peugeot,308,2015.0,Combi,190549.0,Gri,Diesel,1997.0,150.0,Automata,Fata,Euro 6,10599.6
141,Peugeot,3008,2017.0,SUV,172361.0,Gri,Benzina,1199.0,130.0,Automata,Fata,Euro 6,13699.0
142,Volkswagen,Golf,2012.0,Combi,252000.0,Negru,Diesel,1598.0,105.0,Manuala,Fata,Euro 5,5490.0
143,Audi,A7,2019.0,Sedan,214000.0,Albastru,Diesel,1968.0,204.0,Automata,4x4 (automat),Euro 6,32950.0
144,Dacia,Sandero,2015.0,Masina de oras,231854.0,Rosu,Diesel,1461.0,90.0,Manuala,Fata,Euro 6,6299.0
145,Audi,A6,2020.0,Sedan,29000.0,Albastru,Benzina,1984.0,245.0,Automata,4x4 (automat),Euro 6,37994.0
146,Audi,Q3,2012.0,SUV,267757.0,Gri,Benzina,1984.0,170.0,Manuala,4x4 (automat),Euro 5,9998.23
147,Renault,Megane,2023.0,Combi,197000.0,Negru,Diesel,1461.0,115.0,Automata,Fata,Euro 6,13990.0
148,Renault,Scenic,2013.0,Monovolum,205000.0,Alte culori,Diesel,1461.0,110.0,Automata,Fata,Euro 5,5890.0
149,BMW,Seria 3,2021.0,Sedan,174000.0,Alb,Hibrid Plug-In,1998.0,292.0,Automata,4x4 (automat),Euro 6,26983.0
150,Mercedes-Benz,GLE,2021.0,SUV,132100.0,Alb,Hibrid Plug-In,1950.0,319.0,Automata,4x4 (automat),Euro 6d,61697.9
151,Audi,TT,2015.0,Coupe,192782.0,Negru,Benzina,1984.0,230.0,Automata,4x4 (automat),Euro 6,17490.0
152,Toyota,RAV4,2021.0,SUV,114548.0,Alb,Hibrid Plug-In,2487.0,306.0,Automata,4x4 (automat),Euro 6d,35999.92
153,BMW,X6,2024.0,SUV,24900.0,Negru,Diesel,2993.0,286.0,Automata,4x4 (automat),Euro 6,84900.0
154,BMW,X5,2023.0,SUV,22800.0,Gri,Diesel,2993.0,298.0,Automata,4x4 (automat),Euro 6d-Temp,74488.81
155,Volvo,XC 60,2022.0,SUV,129000.0,Alb,Diesel,1969.0,197.0,Automata,Fata,Euro 6,32307.0
156,Volkswagen,ARTEON,2022.0,Sedan,117000.0,Albastru,Diesel,1968.0,150.0,Automata,Fata,Euro 6,30976.0
157,Renault,Kadjar,2019.0,SUV,185000.0,Negru,Benzina,1332.0,159.0,Automata,Fata,Euro 6,14990.0
158,Toyota,Corolla,2020.0,Sedan,173577.0,Alb,Hibrid,1798.0,122.0,Automata,Fata,Euro 6,14899.94
159,Skoda,Scala,2022.0,Combi,117134.0,Albastru,Benzina,999.0,110.0,Manuala,Fata,Euro 6,11699.49
160,Mercedes-Benz,GLE,2024.0,SUV,20000.0,Alb,Hibrid Plug-In,1999.0,381.0,Automata,4x4 (automat),Euro 6d-Temp,96800.0
161,Opel,Astra,2018.0,Combi,225000.0,Gri,Diesel,1598.0,136.0,Automata,Fata,Euro 6,6300.0
162,Hyundai,Tucson,2023.0,SUV,190000.0,Alb,Hibrid Plug-In,1598.0,265.0,Automata,4x4 (automat),Euro 6,22950.0
163,Renault,Koleos,2017.0,SUV,99005.0,Alte culori,Diesel,1995.0,177.0,Automata,4x4 (automat),Euro 6b,19000.0
164,Volkswagen,Polo,2014.0,Masina mica,149500.0,Maro,Benzina,1198.0,60.0,Manuala,Fata,Euro 5,6499.0
165,Peugeot,5008,2020.0,SUV,159318.0,Alb,Diesel,1499.0,130.0,Automata,Fata,Euro 6,17490.01
166,Toyota,Corolla,2021.0,Compacta,134110.0,Alb,Hibrid,1798.0,122.0,Automata,Fata,Euro 6,19000.0
167,Mercedes-Benz,GLC,2021.0,SUV,132880.0,Gri,Diesel,1950.0,194.0,Automata,4x4 (automat),Euro 6,33889.99
168,Renault,Kadjar,2020.0,SUV,79000.0,Negru,Benzina,1332.0,140.0,Automata,Fata,Euro 6,14900.0
169,Peugeot,508,2019.0,Sedan,71000.0,Negru,Benzina,1598.0,180.0,Automata,Fata,Euro 6,18990.0
170,Audi,A3,2023.0,Compacta,25000.0,Argint,Benzina,1498.0,149.0,Manuala,Fata,Euro 6,21500.0
171,Peugeot,2008,2019.0,SUV,177000.0,Negru,Diesel,1499.0,120.0,Manuala,Fata,Euro 6,10790.0
172,BMW,Seria 3,2022.0,Combi,63000.0,Negru,Diesel,1995.0,150.0,Automata,Spate,Euro 6,28540.27
173,Maserati,Levante,2018.0,SUV,73415.0,Negru,Diesel,2987.0,275.0,Automata,4x4 (manual),Euro 6,45000.0
174,Peugeot,3008,2016.0,SUV,114900.0,Gri,Benzina,1199.0,130.0,Manuala,Fata,Euro 6,12590.0
175,Mercedes-Benz,GLC,2025.0,SUV,13380.0,Verde,Benzina,1999.0,204.0,Automata,4x4 (automat),Euro 6,53899.45
176,Skoda,Octavia,2023.0,Compacta,32350.0,Gri,Benzina,1498.0,149.0,Manuala,Fata,Euro 6,21900.0
177,Audi,Q7,2021.0,SUV,158550.0,Gri,Hibrid Plug-In,2995.0,381.0,Automata,4x4 (automat),Euro 6,41987.0
178,BMW,Seria 3,2020.0,Combi,191752.0,Alb,Diesel,1995.0,190.0,Automata,Spate,Euro 6,19380.0
179,BMW,X3,2018.0,SUV,126000.0,Negru,Benzina,1998.0,252.0,Automata,4x4 (automat),Euro 6,28900.0
180,SsangYong,Korando,2022.0,SUV,130025.0,Gri,Benzina,1497.0,163.0,Automata,4x4 (automat),Euro 6,17500.0
181,BMW,Seria 4,2015.0,Sedan,262700.0,Gri,Diesel,2993.0,313.0,Automata,4x4 (manual),Euro 6,16999.0
182,BMW,Seria 3,2013.0,Sedan,207870.0,Alb,Diesel,1995.0,183.0,Automata,Spate,Euro 6,12480.0
183,Skoda,Octavia,2010.0,Sedan,218000.0,Negru,Benzina,1390.0,80.0,Manuala,Fata,Euro 4,3999.0
184,Volvo,S90,2020.0,Sedan,166000.0,Argint,Diesel,1969.0,150.0,Automata,Fata,Euro 6,23232.0
185,Volkswagen,Tiguan,2017.0,SUV,221000.0,Alb,Diesel,1968.0,150.0,Automata,4x4 (automat),Euro 6,17490.0
186,Audi,Q2,2017.0,SUV,190000.0,Negru,Benzina,1395.0,150.0,Automata,Fata,Euro 6,15990.0
187,Mazda,CX-5,2016.0,SUV,225000.0,Maro,Diesel,2191.0,150.0,Manuala,Fata,Euro 6,9590.0
188,Jaguar,F-Pace,2017.0,SUV,239000.0,Negru,Diesel,1999.0,180.0,Automata,4x4 (automat),Euro 6,15300.0
189,BMW,Seria 4,2017.0,Coupe,235295.0,Negru,Diesel,1995.0,190.0,Automata,4x4 (automat),Euro 6,15990.0
190,Kia,Sportage,2018.0,SUV,122000.0,Albastru,Diesel,1598.0,136.0,Automata,4x4 (automat),Euro 6,17950.0
191,BMW,X4,2019.0,SUV,165564.0,Negru,Diesel,1995.0,190.0,Automata,4x4 (automat),Euro 6d,28980.0
192,Volkswagen,Tiguan,2019.0,SUV,198000.0,Gri,Diesel,1968.0,150.0,Automata,4x4 (automat),Euro 6,19990.0
193,BMW,Seria 5,2016.0,Sedan,228785.0,Gri,Diesel,1995.0,218.0,Automata,Spate,Euro 6,16950.0
194,Ford,Focus,2012.0,Combi,281235.0,Negru,Diesel,1560.0,105.0,Manuala,Fata,Euro 5,3690.0
195,Dacia,Duster,2014.0,SUV,198500.0,Gri,Diesel,1461.0,110.0,Manuala,Fata,Euro 5,8190.0
196,Toyota,RAV4,2020.0,SUV,96000.0,Gri,Hibrid,2487.0,228.0,Automata,4x4 (automat),Euro 6d,32670.0
197,Audi,Q2,2020.0,Masina de oras,181327.0,Negru,Benzina,1498.0,150.0,Manuala,Fata,Euro 6,17250.0
198,Mercedes-Benz,A,2023.0,Sedan,25000.0,Gri,Hibrid Plug-In,1332.0,163.0,Automata,Fata,Euro 6d,38720.0
199,Peugeot,508,2021.0,Combi,134700.0,Negru,Hibrid Plug-In,1598.0,225.0,Automata,Fata,Euro 6d-Temp,16990.0
200,Volkswagen,Golf,2011.0,Combi,252157.0,Negru,Diesel,1598.0,105.0,Manuala,Fata,Euro 5,4850.0
201,Volvo,XC 60,2017.0,SUV,149000.0,Gri,Diesel,1969.0,190.0,Automata,4x4 (manual),Euro 6,23990.0
202,Skoda,Octavia,2022.0,Combi,212751.0,Alb,Diesel,1968.0,115.0,Manuala,Fata,Euro 6,14700.29
203,Volvo,XC 90,2019.0,SUV,121000.0,Albastru,Diesel,1969.0,235.0,Automata,4x4 (manual),Euro 6b,36999.0
204,Mercedes-Benz,E,2023.0,Sedan,32479.0,Alb,Benzina,1999.0,204.0,Automata,Spate,Euro 6,48200.0
205,Peugeot,5008,2017.0,Monovolum,164000.0,Gri,Benzina,1199.0,130.0,Manuala,Fata,Euro 6,13890.0
206,Renault,Megane,2013.0,Combi,245000.0,Gri,Diesel,1461.0,110.0,Manuala,Fata,Euro 5,6290.0
