make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price,apple_carplay,android_auto,bluetooth,wireless_charging,navigation,internet,usb_port,head_up_display,ac,climatronic,climatronic_2zone,climatronic_3zone,climatronic_4zone,panoramic_roof,electric_sunroof,manual_sunroof,rear_glass_sunroof,upholstery_alcantara,upholstery_leather_mix,upholstery_leather,upholstery_fabric,electric_driver_seat,heated_driver_seat,heated_passenger_seat,ventilated_front_seats,ventilated_rear_seats,memory_seat,front_armrest,sport_steering_wheel,paddle_shifters,keyless_entry,keyless_go,heated_windshield,air_suspension,sport_suspension,predictive_acc,cruise_control,adaptive_cruise,bi_xenon,laser_lights,led_lights,xenon,dynamic_lights,follow_me_home,front_park_sensors,rear_park_sensors,park_assist,auto_park,camera_360,rear_camera,folding_mirrors,blind_spot,lane_assist,distance_control,autonomous_driving,isofix,equipment_count,is_well_equipped,equipment_tier
BMW,Seria 3,2025,Sedan,11635,4.0,5.0,Gri,Benzina,1998,184,Automata,4x4 (automat),Euro 6,51425.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1,premium
Volkswagen,Passat,2020,Combi,184164,5.0,5.0,Albastru,Benzina,1498,150,Manuala,Fata,Euro 6,15705.8,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,14,1,premium
Seat,Leon,2017,Combi,116000,5.0,5.0,Gri,Benzina,1984,290,Automata,4x4 (automat),Euro 6,19250.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,14,1,premium
BMW,Seria 5,2019,Sedan,97500,4.0,5.0,Negru,Diesel,1995,190,Automata,4x4 (automat),Euro 6,29500.0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,18,1,ultra
Mercedes-Benz,C,2019,Sedan,104000,4.0,5.0,Negru,Benzina,1595,156,Automata,Spate,Euro 6,20800.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,16,1,ultra
Mercedes-Benz,Citan,2019,Monovolum,199000,4.0,2.0,Alb,Diesel,1461,75,Manuala,Fata,Euro 6,7500.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,basic
Peugeot,308,2023,Compacta,39700,5.0,5.0,Verde,Diesel,1499,130,Automata,Fata,Euro 6c,18500.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,14,1,premium
Kia,XCeed,2020,Compacta,83042,5.0,5.0,Albastru,Hibrid Plug-In,1580,141,Automata,Fata,Euro 6d,17490.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,standard
Kia,Sportage,2025,SUV,4557,5.0,5.0,Argint,Benzina,1598,180,Automata,4x4 (automat),Euro 6d,43719.72,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,16,1,ultra
Hyundai,Tucson,2017,SUV,172100,5.0,5.0,Negru,Diesel,1995,136,Automata,4x4 (manual),Euro 6,16499.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,14,1,premium
Volkswagen,Passat,2021,Combi,212000,5.0,5.0,Rosu,Diesel,1968,150,Automata,Fata,Euro 6d-Temp,13200.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,15,1,ultra
