make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price,url
Peugeot,2008,2016,Compacta,114 500 km,5,5,Alb,Benzina,1 199 cm3,110 CP,Manuala,Fata,Euro 6,6 999,https://www.autovit.ro/autoturisme/anunt/peugeot-2008-ID7HJ68b.html
Mercedes-Benz,GLE,2025,SUV,5 896 km,5,5,Gri,Hibrid Plug-In,1 993 cm3,333 CP,Automata,4x4 (automat),Euro 6,"96 899,22",https://www.autovit.ro/autoturisme/anunt/mercedes-benz-gle-ver-350-phev-de-4matic-ID7HJ693.html
BMW,Seria 5,2020,Combi,198 100 km,5,5,Gri,Benzina,1 998 cm3,184 CP,Automata,Spate,Euro 6,20 990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-5-ver-520i-touring-aut-m-sport-edition-ID7HyL8S.html
Toyota,Avensis,2012,Combi,202 000 km,5,5,Negru,Diesel,2 231 cm3,177 CP,Manuala,Fata,Euro 5,7 200,https://www.autovit.ro/autoturisme/anunt/toyota-avensis-ver-2-2-d-cat-luxury-consola-nichel-ID7HIi7p.html
Audi,Q8,2024,SUV,937 km,5,5,Maro,Diesel,2 967 cm3,286 CP,Automata,4x4 (automat),Euro 6,78 900,https://www.autovit.ro/autoturisme/anunt/audi-q8-ID7HJ3Mq.html
Seat,Exeo,2009,Sedan,230 000 km,4,5,Rosu,Diesel,1 968 cm3,170 CP,Manuala,Fata,Euro 5,3 000,https://www.autovit.ro/autoturisme/anunt/seat-exeo-ver-2-0-tdi-170-cp-sport-ID7HHYRp.html
BMW,Seria 6,2016,Sedan,139 000 km,4,5,Alte culori,Diesel,2 993 cm3,313 CP,Automata,4x4 (automat),Euro 6d-Temp,26 980,https://www.autovit.ro/autoturisme/anunt/bmw-seria-6-ver-640d-xdrive-ID7HCmJ1.html
Opel,Astra,2019,Combi,155 000 km,5,5,Gri,Diesel,1 598 cm3,136 CP,Manuala,Fata,Euro 6d,7 700,https://www.autovit.ro/autoturisme/anunt/opel-astra-ver-sport-tourer-1-6-cdti-ecotec-start-stop-enjoy-ID7HJ683.html
BMW,Seria 5,2016,Combi,267 522 km,5,5,Maro,Diesel,1 995 cm3,190 CP,Automata,Spate,Euro 6b,12 500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-5-ver-520d-touring-aut-luxury-line-ID7HJ68i.html
Mazda,CX-80,2024,SUV,4 600 km,5,6,Gri,Hibrid Plug-In,2 488 cm3,327 CP,Automata,4x4 (automat),Euro 6,51 000,https://www.autovit.ro/autoturisme/anunt/mazda-cx-80-ver-2-5-e-skyactiv-at8-awd-phev-homura-plus-ID7HGJmP.html
Renault,Kadjar,2019,SUV,135 619 km,5,5,Gri,Diesel,1 749 cm3,150 CP,Manuala,4x4 (automat),Euro 6,17 500,https://www.autovit.ro/autoturisme/anunt/renault-kadjar-ver-blue-dci-4x4-intens-ID7HFxRT.html
Volvo,XC 60,2019,SUV,80 000 km,5,5,Alb,Hibrid Plug-In,1 969 cm3,303 CP,Automata,4x4 (automat),Euro 6,30 990,https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-ver-t8-twin-engine-awd-momentum-pro-ID7HGLHe.html
BMW,X1,2013,SUV,250 000 km,5,5,Alb,Diesel,1 995 cm3,143 CP,Automata,4x4 (automat),Euro 6,10 490,https://www.autovit.ro/autoturisme/anunt/bmw-x1-ID7HGJSW.html
Jaguar,XF,2016,Sedan,170 000 km,4,5,Alb,Diesel,2 179 cm3,163 CP,Automata,Spate,Euro 6,11 990,https://www.autovit.ro/autoturisme/anunt/jaguar-xf-ver-2-2d-premium-luxury-ID7HHV9Z.html
Porsche,Cayenne,2015,SUV,200 000 km,5,5,Negru,Hibrid Plug-In,2 999 cm3,333 CP,Automata,4x4 (automat),Euro 6,25 990,https://www.autovit.ro/autoturisme/anunt/porsche-cayenne-ID7HHVaI.html
Toyota,RAV4,2016,SUV,170 000 km,5,5,Alb,Hibrid,2 494 cm3,155 CP,Automata,4x4 (automat),Euro 6,18 490,https://www.autovit.ro/autoturisme/anunt/toyota-rav-4-ver-2-5-vvt-i-hsd-4x2-executive-ID7HGJtr.html
Volvo,XC 60,2019,SUV,130 000 km,5,5,Negru,Hibrid Plug-In,1 969 cm3,303 CP,Automata,4x4 (automat),Euro 6,30 490,https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-ver-t8-twin-engine-awd-momentum-pro-ID7HGJxZ.html
Volvo,XC 60,2020,SUV,110 000 km,5,5,Negru,Diesel,1 969 cm3,190 CP,Automata,Fata,Euro 6,27 490,https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-ver-d4-momentum-pro-ID7HGJuk.html
Seat,Leon,2016,Compacta,199 563 km,5,5,Negru,Diesel,1 968 cm3,184 CP,Automata,Fata,Euro 6,11 200,https://www.autovit.ro/autoturisme/anunt/seat-leon-ver-2-0-tdi-dpf-dsg-fr-ID7HJ62f.html
Skoda,Octavia,2021,Sedan,39 000 km,5,5,Gri,Benzina,1 984 cm3,245 CP,Automata,Fata,Euro 6b,27 300,https://www.autovit.ro/autoturisme/anunt/skoda-octavia-ver-2-0-245-tsi-dsg-rs-ID7HHDUp.html
Mercedes-Benz,GLE,2017,SUV,200 816 km,5,5,Negru,Benzina,2 996 cm3,367 CP,Automata,4x4 (automat),Euro 6,29 950,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-gle-ver-amg-43-4matic-9g-tronic-amg-line-ID7HJ67p.html
Volkswagen,Golf,2015,Combi,201 000 km,5,5,Negru,Diesel,1 598 cm3,110 CP,Automata,Fata,Euro 6,9 200,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ver-1-6-tdi-bluemotion-technology-dsg-cup-ID7HJ677.html
BMW,Seria 3,2015,Combi,165 631 km,4,5,Albastru,Diesel,1 995 cm3,190 CP,Automata,4x4 (automat),Euro 6,16 700,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HEDsx.html
Volkswagen,Golf,2009,Compacta,260 000 km,5,5,Gri,Benzina,1 390 cm3,160 CP,Manuala,Fata,Euro 5,4 490,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ver-1-4-tsi-team-ID7HJ679.html
BMW,Seria 7,2016,Sedan,118 000 km,4,5,Negru,Benzina,2 979 cm3,326 CP,Automata,Spate,Euro 6,31 780,https://www.autovit.ro/autoturisme/anunt/bmw-seria-7-ver-740i-aut-ID7HJ673.html
Mercedes-Benz,GLE Coupe,2020,SUV,78 500 km,5,5,Negru,Benzina,3 982 cm3,571 CP,Automata,4x4 (automat),Euro 6,84 900,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-gle-coupe-ver-amg-63-4maticplus-amg-speedshift-tct-9g-ID7HHOfW.html
Volkswagen,Tiguan,2012,SUV,235 000 km,5,5,Gri,Diesel,1 968 cm3,140 CP,Automata,4x4 (automat),Euro 5,8 990,https://www.autovit.ro/autoturisme/anunt/volkswagen-tiguan-ver-2-0-tdi-4motion-dsg-sport-style-ID7HHMww.html
Renault,Clio,2016,Combi,201 000 km,5,5,Alb,Benzina,898 cm3,90 CP,Manuala,Fata,Euro 6,"5 989,50",https://www.autovit.ro/autoturisme/anunt/renault-clio-ver-grandtour-energy-tce-90-start-stop-limited-ID7Hppof.html
Peugeot,308,2018,Compacta,99 200 km,5,5,Gri,Benzina,1 199 cm3,130 CP,Automata,Fata,Euro 6,8 500,https://www.autovit.ro/autoturisme/anunt/peugeot-308-ver-1-2-l-puretech-turbo-s-s-allure-aut-ID7HHS9O.html
Volkswagen,Transporter,2019,Monovolum,186 000 km,4,2,Gri,Diesel,1 996 cm3,150 CP,Manuala,Fata,Euro 6c,14 300,https://www.autovit.ro/autoturisme/anunt/volkswagen-transporter-ID7HBOxW.html
Volkswagen,Passat,2018,Combi,260 000 km,5,5,Gri,Diesel,1 968 cm3,150 CP,Automata,Fata,Euro 6,10 499,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-ver-variant-2-0-tdi-scr-dsg-comfortline-ID7HJ60X.html
Mercedes-Benz,CLA,2014,Sedan,189 192 km,4,5,Argint,Benzina,1 991 cm3,211 CP,Automata,Fata,Euro 5,15 850,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-cla-ver-250-7g-dct-amg-line-ID7HJ66f.html
Audi,A5,2010,Cabrio,280 000 km,2,4,Gri,Diesel,1 968 cm3,170 CP,Manuala,Fata,Euro 5,7 500,https://www.autovit.ro/autoturisme/anunt/audi-a5-ver-2-0-tdi-dpf-ID7HJ65B.html
Audi,A4,2009,Combi,194 000 km,5,5,Albastru,Diesel,1 968 cm3,143 CP,Manuala,Fata,Euro 5,6 350,https://www.autovit.ro/autoturisme/anunt/audi-a4-ver-2-0-tdi-avant-ID7HJ65w.html
Volkswagen,Caddy,2019,Combi,190 000 km,5,7,Alb,Diesel,1 968 cm3,102 CP,Automata,Fata,Euro 6d-Temp,12 750,https://www.autovit.ro/autoturisme/anunt/volkswagen-caddy-ver-2-0-tdi-7-si-dsg-maxi-generation-four-ID7HEfFo.html
Renault,Talisman,2017,Combi,222 865 km,5,5,Gri,Diesel,1 598 cm3,130 CP,Manuala,Fata,Euro 6,8 990,https://www.autovit.ro/autoturisme/anunt/renault-talisman-ver-grandtour-energy-dci-130-intens-ID7Hy72x.html
Renault,Megane,2019,Combi,191 000 km,5,5,Argint,Diesel,1 461 cm3,116 CP,Manuala,Fata,Euro 6,9 490,https://www.autovit.ro/autoturisme/anunt/renault-megane-ver-estate-blue-dci-intens-ID7HGyFh.html
Opel,Insignia,2021,Combi,138 500 km,5,5,Gri,Diesel,1 955 cm3,174 CP,Automata,Fata,Euro 6,16 499,https://www.autovit.ro/autoturisme/anunt/opel-insignia-ID7Hx544.html
Volvo,XC 40,2020,SUV,104 750 km,5,5,Alb,Benzina,1 477 cm3,163 CP,Automata,Fata,Euro 6,19 360,https://www.autovit.ro/autoturisme/anunt/volvo-xc-40-ver-t3-at8-momentum-ID7HCqYe.html
Audi,A6,2016,Combi,211 000 km,5,5,Maro,Diesel,1 968 cm3,190 CP,Manuala,Fata,Euro 6,16 450,https://www.autovit.ro/autoturisme/anunt/audi-a6-ID7HJ64H.html
Seat,Alhambra,2011,Monovolum,234 000 km,5,5,Negru,Diesel,1 968 cm3,140 CP,Automata,Fata,Euro 5,8 199,https://www.autovit.ro/autoturisme/anunt/seat-alhambra-ver-2-0-tdi-ecomotive-start-stop-dsg-reference-ID7HHR19.html
BMW,M3,2023,Sedan,21 500 km,4,5,Alb,Benzina,2 993 cm3,510 CP,Automata,4x4 (manual),Euro 6,80 000,https://www.autovit.ro/autoturisme/anunt/bmw-bmw-m3-ver-competition-m-xdrive-ID7HJ60i.html
Audi,A4,2017,Sedan,137 648 km,4,5,Negru,Diesel,1 968 cm3,190 CP,Automata,4x4 (automat),Euro 6c,19 950,https://www.autovit.ro/autoturisme/anunt/audi-a4-ver-2-0-tdi-quattro-s-tronic-sport-ID7HDsrv.html
Skoda,Octavia,2012,Sedan,215 000 km,5,5,Alb,Diesel,1 598 cm3,105 CP,Manuala,Fata,Euro 5,3 900,https://www.autovit.ro/autoturisme/anunt/skoda-octavia-ver-1-6-tdi-dpf-ambiente-ID7HJ64v.html
BMW,Seria 3,2008,Sedan,140 390 km,4,5,Verde,Diesel,1 995 cm3,163 CP,Manuala,Spate,Euro 5,7 500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-efficient-dynamics-edition-ID7HJ64o.html
Volkswagen,Passat CC,2012,Sedan,245 323 km,4,5,Maro,Diesel,1 968 cm3,177 CP,Automata,Fata,Euro 5,9 500,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-cc-ID7HFG9K.html
Volvo,XC 90,2021,SUV,169 600 km,5,7,Negru,Hibrid Plug-In,1 969 cm3,303 CP,Automata,4x4 (automat),Euro 6,36 500,https://www.autovit.ro/autoturisme/anunt/volvo-xc-90-ID7HHMG8.html
Volkswagen,Passat,2024,Combi,11 000 km,5,5,Gri,Diesel,1 968 cm3,150 CP,Automata,Fata,Euro 6,40 293,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-ver-variant-2-0-tdi-dsg-elegance-ID7HGTwq.html
Ford,Kuga,2015,SUV,226 000 km,5,5,Alb,Diesel,1 997 cm3,120 CP,Manuala,Fata,Euro 6,7 000,https://www.autovit.ro/autoturisme/anunt/ford-kuga-ID7HGUbp.html
Renault,Kangoo,2016,Monovolum,255 000 km,5,7,Alb,Diesel,1 461 cm3,110 CP,Manuala,Fata,Euro 6,6 999,https://www.autovit.ro/autoturisme/anunt/renault-kangoo-ver-energy-dci-110-fap-start-stop-intens-ID7HJ644.html
Mercedes-Benz,S,2018,Sedan,211 000 km,4,5,Negru,Diesel,2 987 cm3,258 CP,Automata,4x4 (automat),Euro 6,36 500,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-s-ver-350-d-4matic-9g-tronic-ID7HJ647.html
Ford,Mondeo,2020,Sedan,99 999 km,5,5,Albastru,Benzina + GPL,1 499 cm3,165 CP,Automata,Fata,Euro 6,14 999,https://www.autovit.ro/autoturisme/anunt/ford-mondeo-ID7HlNhY.html
Land Rover,Range Rover Velar,2021,SUV,192 399 km,5,5,Alb,Diesel,1 999 cm3,179 CP,Automata,4x4 (automat),Euro 6,24 999,https://www.autovit.ro/autoturisme/anunt/land-rover-range-rover-velar-ID7HuLVp.html
Volvo,V60,2013,Combi,299 999 km,5,5,Gri,Diesel,1 560 cm3,115 CP,Automata,Fata,Euro 5,6 499,https://www.autovit.ro/autoturisme/anunt/volvo-v60-ver-d2-geartronic-powershift-momentum-ID7HzT4c.html
Land Rover,Discovery Sport,2022,SUV,166 699 km,5,5,Gri,Diesel,1 998 cm3,204 CP,Automata,4x4 (automat),Euro 6,27 999,https://www.autovit.ro/autoturisme/anunt/land-rover-discovery-sport-ver-2-0-d200-mhev-dynamic-se-ID7HHUvT.html
BMW,X3,2016,SUV,185 000 km,5,5,Alb,Diesel,1 995 cm3,190 CP,Automata,4x4 (automat),Euro 6,17 499,https://www.autovit.ro/autoturisme/anunt/bmw-x3-ver-xdrive20d-aut-m-sport-ID7HJ641.html
Volvo,V40,2015,Compacta,192 457 km,5,5,Negru,Diesel,1 560 cm3,115 CP,Manuala,Fata,Euro 5,8 290,https://www.autovit.ro/autoturisme/anunt/volvo-v40-ver-d2-momentum-ID7HJ3jT.html
Renault,Megane,2017,Combi,207 502 km,5,5,Albastru,Diesel,1 461 cm3,110 CP,Automata,Fata,Euro 6,9 890,https://www.autovit.ro/autoturisme/anunt/renault-megane-ver-dci-110-fap-edc-bose-edition-ID7HJ3gS.html
Ford,Fiesta,2009,Masina de oras,218 152 km,5,5,Rosu,Benzina + GPL,1 388 cm3,96 CP,Manuala,Fata,Euro 5,2 999,https://www.autovit.ro/autoturisme/anunt/ford-fiesta-ver-1-4-titanium-ID7HJ63I.html
Mercedes-Benz,CLA,2023,Combi,169 500 km,5,5,Alb,Diesel,1 950 cm3,116 CP,Automata,Fata,Euro 6b,18 500,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-cla-ver-180-d-shooting-brake-8g-dct-edition-2022-ID7HJ63r.html
Volvo,XC 60,2024,SUV,12 697 km,5,5,Negru,Hibrid Plug-In,1 969 cm3,455 CP,Automata,4x4 (automat),Euro 6,58 685,https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-ver-t8-awd-plug-in-hybrid-plus-dark-ID7HrUGM.html
BMW,Seria 1,2019,Compacta,149 500 km,5,5,Alb,Benzina,1 499 cm3,140 CP,Automata,Fata,Euro 6b,13 200,https://www.autovit.ro/autoturisme/anunt/bmw-seria-1-ver-118i-aut-m-sport-ID7HJ630.html
Volkswagen,Passat,2012,Combi,218 500 km,5,5,Maro,Benzina,1 390 cm3,122 CP,Manuala,Fata,Euro 5,6 390,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-ver-variant-1-4-tsi-bluemotion-technology-exclusive-ID7HJ63j.html
Land Rover,Range Rover Evoque,2014,SUV,92 000 km,5,5,Alb,Diesel,2 179 cm3,150 CP,Automata,4x4 (automat),Euro 5,15 000,https://www.autovit.ro/autoturisme/anunt/land-rover-range-rover-evoque-ID7HH0R9.html
Nissan,Qashqai,2015,SUV,264 000 km,5,5,Negru,Diesel,1 461 cm3,110 CP,Manuala,Fata,Euro 5,9 999,https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-ver-1-5-dci-tekna-ID7HJ63f.html
Audi,A6,2018,Sedan,11 500 km,4,5,Gri,Diesel,1 968 cm3,204 CP,Automata,Fata,Euro 6,27 500,https://www.autovit.ro/autoturisme/anunt/audi-a6-ver-40-tdi-s-tronic-ID7HHaVZ.html
BMW,Seria 3,2021,Sedan,200 700 km,5,5,Gri,Benzina,1 998 cm3,184 CP,Automata,Spate,Euro 6,17 800,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-at-ID7Hy3bj.html
Dacia,Duster,2025,SUV,6 800 km,5,5,Maro,Benzina + GPL,999 cm3,100 CP,Manuala,Fata,Euro 6,21 800,https://www.autovit.ro/autoturisme/anunt/dacia-duster-ver-eco-g-100-extreme-ID7HJ62Q.html
Nissan,Juke,2010,SUV,249 619 km,5,5,Gri,Diesel,1 461 cm3,110 CP,Manuala,Fata,Euro 5,5 999,https://www.autovit.ro/autoturisme/anunt/nissan-juke-ID7HFrFL.html
Renault,Clio,2014,Combi,320 000 km,5,5,Negru,Diesel,1 461 cm3,90 CP,Manuala,Fata,Euro 5,4 400,https://www.autovit.ro/autoturisme/anunt/renault-clio-ver-energy-dci-90-start-stop-dynamique-ID7HJ62R.html
Land Rover,Defender,2011,SUV,150 989 km,4,5,Verde,Diesel,2 401 cm3,122 CP,Manuala,4x4 (manual),Euro 4,39 999,https://www.autovit.ro/autoturisme/anunt/land-rover-defender-ID7HFrGc.html
Dacia,Sandero Stepway,2020,Masina de oras,160 000 km,5,5,Gri,Benzina,898 cm3,90 CP,Manuala,Fata,Euro 6b,7 890,https://www.autovit.ro/autoturisme/anunt/dacia-sandero-stepway-ver-tce-90-prestige-ID7HJ62P.html
Renault,Clio,2016,Combi,185 000 km,5,5,Gri,Diesel,1 461 cm3,90 CP,Manuala,Fata,Euro 6,6 300,https://www.autovit.ro/autoturisme/anunt/renault-clio-ver-energy-dci-90-start-stop-83g-eco-drive-ID7HJ62J.html
Dacia,Duster,2018,SUV,95 000 km,5,5,Albastru,Benzina,1 199 cm3,125 CP,Manuala,4x4 (manual),Euro 6,11 500,https://www.autovit.ro/autoturisme/anunt/dacia-duster-ver-tce-125-4x4-prestige-ID7HpDrk.html
Mercedes-Benz,C,2020,Combi,221 000 km,5,5,Negru,Hibrid Plug-In,1 950 cm3,194 CP,Automata,Spate,Euro 6,20 990,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-c-ID7HGyr1.html
Audi,A5,2017,Sedan,175 000 km,5,5,Gri,Diesel,1 968 cm3,190 CP,Automata,Fata,Euro 6,20 990,https://www.autovit.ro/autoturisme/anunt/audi-a5-ver-sportback-2-0-tdi-ultra-s-tronic-sport-ID7HGyt4.html
Nissan,Qashqai,2018,SUV,223 899 km,5,5,Alb,Diesel,1 461 cm3,110 CP,Manuala,Fata,Euro 6,14 750,https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-ver-1-5-dci-teknaplus-ID7HHUwP.html
Mazda,CX-5,2019,SUV,176 000 km,5,5,Albastru,Diesel,2 191 cm3,150 CP,Automata,Fata,Euro 6,16 250,https://www.autovit.ro/autoturisme/anunt/mazda-cx-5-ver-cd150-4x2-at-takumi-ID7HJ3Ea.html
Renault,Megane,2017,Combi,192 000 km,5,5,Albastru,Diesel,1 461 cm3,110 CP,Manuala,Fata,Euro 6,10 499,https://www.autovit.ro/autoturisme/anunt/renault-megane-ver-energy-dci-110-gt-line-ID7HJ62o.html
Opel,Corsa,2016,Masina de oras,195 000 km,5,5,Negru,Benzina,1 398 cm3,90 CP,Manuala,Fata,Euro 6,5 300,https://www.autovit.ro/autoturisme/anunt/opel-corsa-ID7HJ62k.html
Skoda,Superb,2021,Combi,185 000 km,5,5,Negru,Hibrid Plug-In,1 395 cm3,217 CP,Automata,Fata,Euro 6,14 999,https://www.autovit.ro/autoturisme/anunt/skoda-superb-ID7HGFOF.html
BMW,X5,2016,SUV,206 000 km,5,7,Negru,Benzina,2 979 cm3,306 CP,Automata,4x4 (automat),Euro 6b,16 500,https://www.autovit.ro/autoturisme/anunt/bmw-x5-ver-xdrive35i-ID7HHWDe.html
BMW,Seria 3,2019,Sedan,56 000 km,4,5,Negru,Benzina,1 998 cm3,258 CP,Automata,Spate,Euro 6b,27 900,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-330i-at-sport-line-ID7HGBvH.html
Alfa Romeo,Stelvio,2019,SUV,139 000 km,5,5,Albastru,Benzina,1 995 cm3,280 CP,Automata,4x4 (automat),Euro 6b,22 900,https://www.autovit.ro/autoturisme/anunt/alfa-romeo-stelvio-ver-2-0-turbo-16v-at8-q4-veloce-ti-ID7HEPLB.html
Volkswagen,Polo,2015,Masina de oras,295 000 km,5,5,Alb,Diesel,1 422 cm3,90 CP,Manuala,Fata,Euro 6,4 990,https://www.autovit.ro/autoturisme/anunt/volkswagen-polo-ID7HJ62e.html
Audi,A4,2011,Sedan,206 123 km,4,5,Negru,Benzina,1 798 cm3,120 CP,Manuala,Fata,Euro 5,6 990,https://www.autovit.ro/autoturisme/anunt/audi-a4-ver-1-8-tfsi-attraction-ID7HJ62d.html
BMW,Seria 5,2015,Sedan,208 000 km,5,5,Gri,Diesel,1 995 cm3,190 CP,Automata,Spate,Euro 6,13 950,https://www.autovit.ro/autoturisme/anunt/bmw-seria-5-ID7HJ629.html
BMW,Seria 1,2009,Compacta,248 000 km,5,5,Negru,Diesel,1 995 cm3,177 CP,Manuala,Spate,Euro 5,4 990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-1-ver-120d-dpf-ID7HEQg6.html
BMW,Seria 3,2013,Combi,265 000 km,2,2,Alb,Diesel,1 995 cm3,183 CP,Automata,Spate,Euro 5,8 100,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-cabrio-aut-ID7HBLN6.html
Peugeot,308,2008,Compacta,216 000 km,5,5,Galben/Auriu,Diesel,1 560 cm3,110 CP,Automata,Fata,Euro 4,3 490,https://www.autovit.ro/autoturisme/anunt/peugeot-308-ver-1-6hdi-premium-pack-aut-ID7HJ61U.html
Citroën,C8,2012,Monovolum,295 000 km,5,7,Gri,Diesel,1 997 cm3,136 CP,Manuala,Fata,Euro 5,4 550,https://www.autovit.ro/autoturisme/anunt/citroen-c8-ver-2-0-hdi-exclusive-ID7HHW3k.html
Audi,A1,2020,Masina de oras,115 000 km,4,5,Alb,Benzina,999 cm3,95 CP,Manuala,Fata,Euro 6,12 450,https://www.autovit.ro/autoturisme/anunt/audi-a1-ID7HGHwB.html
Volvo,V60,2020,Combi,132 000 km,5,5,Alb,Benzina,1 969 cm3,190 CP,Automata,Fata,Euro 6d,18 500,https://www.autovit.ro/autoturisme/anunt/volvo-v60-ID7HFP6n.html
Dacia,Duster,2011,SUV,225 394 km,5,5,Negru,Diesel,1 461 cm3,109 CP,Manuala,4x4 (manual),Euro 5,7 500,https://www.autovit.ro/autoturisme/anunt/dacia-duster-ver-dci-110-fap-4x4-blackshadow-ID7HJ61K.html
Subaru,Impreza,2011,Compacta,250 000 km,5,5,Negru,Diesel,1 998 cm3,150 CP,Manuala,4x4 (automat),Euro 5,2 800,https://www.autovit.ro/autoturisme/anunt/subaru-impreza-ID7HJ5YG.html
Ford,Mondeo,2021,Sedan,72 000 km,5,5,Albastru,Diesel,1 997 cm3,150 CP,Automata,Fata,Euro 6,16 790,https://www.autovit.ro/autoturisme/anunt/ford-mondeo-ver-2-0-tdci-aut-titanium-ID7HEo5K.html
Audi,A7,2015,Sedan,325 000 km,5,5,Negru,Diesel,2 967 cm3,326 CP,Automata,4x4 (automat),Euro 6,21 500,https://www.autovit.ro/autoturisme/anunt/audi-a7-ID7HJ61x.html
Audi,A6,2021,Combi,218 000 km,5,5,Negru,Hibrid Plug-In,1 984 cm3,299 CP,Automata,4x4 (automat),Euro 6,24 650,https://www.autovit.ro/autoturisme/anunt/audi-a6-ver-avant-2-0-50-tfsi-e-quattro-s-tronic-basic-ID7HGJbk.html
Ford,Fiesta,2010,Masina de oras,298 400 km,5,5,Gri,Diesel,1 560 cm3,95 CP,Manuala,Fata,Euro 5,3 490,https://www.autovit.ro/autoturisme/anunt/ford-fiesta-ver-1-6-tdci-econetic-trend-ID7HJ60R.html
Jaguar,XE,2021,Sedan,177 957 km,4,5,Negru,Diesel,1 998 cm3,204 CP,Automata,Spate,Euro 6b,17 999,https://www.autovit.ro/autoturisme/anunt/jaguar-xe-ver-d200-rwd-mhev-r-dynamic-hse-ID7HGU79.html
Peugeot,208,2023,Masina de oras,40 000 km,5,5,Gri,Benzina,1 199 cm3,101 CP,Automata,Fata,Euro 6d,15 500,https://www.autovit.ro/autoturisme/anunt/peugeot-208-ver-puretech-100-eat8-active-pack-ID7HJ615.html
Citroën,Jumper,2022,Monovolum,199 400 km,4,7,Alb,Diesel,2 179 cm3,140 CP,Manuala,Fata,Euro 6d,"19 995,25",https://www.autovit.ro/autoturisme/anunt/citroen-jumper-ver-35plus-2-2-bluehdi-140-s-s-l4-bena-cd-ID7HJ618.html
Volkswagen,Passat,2015,Sedan,245 000 km,5,5,Negru,Diesel,1 968 cm3,150 CP,Manuala,Fata,Euro 6,10 800,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-ID7HJ619.html
Land Rover,Range Rover Evoque,2012,SUV,342 000 km,5,5,Alb,Diesel,2 179 cm3,190 CP,Automata,4x4 (automat),Euro 5,12 350,https://www.autovit.ro/autoturisme/anunt/land-rover-range-rover-evoque-ID7HECim.html
BMW,X1,2018,SUV,109 000 km,5,5,Alb,Diesel,1 995 cm3,149 CP,Automata,4x4 (automat),Euro 6,25 200,https://www.autovit.ro/autoturisme/anunt/bmw-x1-ID7HIXOq.html
Toyota,Corolla Verso,2005,Monovolum,253 050 km,5,7,Argint,Benzina,1 794 cm3,129 CP,Manuala,Fata,Euro 5,2 200,https://www.autovit.ro/autoturisme/anunt/toyota-corolla-verso-ver-1-8-luna-ID7HJ60Y.html
Volkswagen,Golf,2015,Masina de oras,175 000 km,5,5,Gri,Benzina,1 197 cm3,110 CP,Manuala,Fata,Euro 6,6 900,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ver-1-2-tsi-bluemotion-technology-comfortline-ID7HJ612.html
Citroën,C3,2017,Masina mica,87 258 km,5,5,Alb,Benzina,1 199 cm3,82 CP,Manuala,Fata,Euro 6,7 000,https://www.autovit.ro/autoturisme/anunt/citroen-c3-ver-1-2-puretech-bvm-feel-ID7HFYLV.html
Nissan,Juke,2012,SUV,191 358 km,5,5,Maro,Benzina,1 598 cm3,117 CP,Manuala,Fata,Euro 5,5 550,https://www.autovit.ro/autoturisme/anunt/nissan-juke-ver-1-6-acenta-ID7HHWcf.html
Skoda,Octavia,2022,Combi,118 690 km,5,5,Negru,Diesel,1 968 cm3,150 CP,Automata,Fata,Euro 6,19 965,https://www.autovit.ro/autoturisme/anunt/skoda-octavia-ver-combi-2-0-tdi-dsg-style-ID7HBlbD.html
Hyundai,Tucson,2021,SUV,99 950 km,5,5,Gri,Hibrid Plug-In,1 598 cm3,180 CP,Automata,4x4 (automat),Euro 6,"28 998,86",https://www.autovit.ro/autoturisme/anunt/hyundai-tucson-ver-phev-1-6-l-265-cp-4wd-6at-premium-ID7HEmgK.html
