make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price
Mercedes-Benz,S,2018.0,Sedan,211000.0,4.0,5.0,Negru,Diesel,2987.0,258.0,Automata,4x4 (automat),Euro 6,36500.0
Ford,Mondeo,2020.0,Sedan,99999.0,5.0,5.0,Albastru,Benzina + GPL,1499.0,165.0,Automata,Fata,Euro 6,14999.0
Land Rover,Range Rover Velar,2021.0,SUV,192399.0,5.0,5.0,Alb,Diesel,1999.0,179.0,Automata,4x4 (automat),Euro 6,24999.0
Volvo,V60,2013.0,Combi,299999.0,5.0,5.0,Gri,Diesel,1560.0,115.0,Automata,Fata,Euro 5,6499.0
Land Rover,Discovery Sport,2022.0,SUV,166699.0,5.0,5.0,Gri,Diesel,1998.0,204.0,Automata,4x4 (automat),Euro 6,27999.0
BMW,X3,2016.0,SUV,185000.0,5.0,5.0,Alb,Diesel,1995.0,190.0,Automata,4x4 (automat),Euro 6,17499.0
Volvo,V40,2015.0,Compacta,192457.0,5.0,5.0,Negru,Diesel,1560.0,115.0,Manuala,Fata,Euro 5,8290.0
Renault,Megane,2017.0,Combi,207502.0,5.0,5.0,Albastru,Diesel,1461.0,110.0,Automata,Fata,Euro 6,9890.0
Ford,Fiesta,2009.0,Masina de oras,218152.0,5.0,5.0,Rosu,Benzina + GPL,1388.0,96.0,Manuala,Fata,Euro 5,2999.0
Mercedes-Benz,CLA,2023.0,Combi,169500.0,5.0,5.0,Alb,Diesel,1950.0,116.0,Automata,Fata,Euro 6b,18500.0
Volvo,XC 60,2024.0,SUV,12697.0,5.0,5.0,Negru,Hibrid Plug-In,1969.0,455.0,Automata,4x4 (automat),Euro 6,58685.0
BMW,Seria 1,2019.0,Compacta,149500.0,5.0,5.0,Alb,Benzina,1499.0,140.0,Automata,Fata,Euro 6b,13200.0
Volkswagen,Passat,2012.0,Combi,218500.0,5.0,5.0,Maro,Benzina,1390.0,122.0,Manuala,Fata,Euro 5,6390.0
Land Rover,Range Rover Evoque,2014.0,SUV,92000.0,5.0,5.0,Alb,Diesel,2179.0,150.0,Automata,4x4 (automat),Euro 5,15000.0
Nissan,Qashqai,2015.0,SUV,264000.0,5.0,5.0,Negru,Diesel,1461.0,110.0,Manuala,Fata,Euro 5,9999.0
Audi,A6,2018.0,Sedan,11500.0,4.0,5.0,Gri,Diesel,1968.0,204.0,Automata,Fata,Euro 6,27500.0
BMW,Seria 3,2021.0,Sedan,200700.0,5.0,5.0,Gri,Benzina,1998.0,184.0,Automata,Spate,Euro 6,17800.0
Dacia,Duster,2025.0,SUV,6800.0,5.0,5.0,Maro,Benzina + GPL,999.0,100.0,Manuala,Fata,Euro 6,21800.0
Nissan,Juke,2010.0,SUV,249619.0,5.0,5.0,Gri,Diesel,1461.0,110.0,Manuala,Fata,Euro 5,5999.0
Renault,Clio,2014.0,Combi,320000.0,5.0,5.0,Negru,Diesel,1461.0,90.0,Manuala,Fata,Euro 5,4400.0
Land Rover,Defender,2011.0,SUV,150989.0,4.0,5.0,Verde,Diesel,2401.0,122.0,Manuala,4x4 (manual),Euro 4,39999.0
Dacia,Sandero Stepway,2020.0,Masina de oras,160000.0,5.0,5.0,Gri,Benzina,898.0,90.0,Manuala,Fata,Euro 6b,7890.0
Renault,Clio,2016.0,Combi,185000.0,5.0,5.0,Gri,Diesel,1461.0,90.0,Manuala,Fata,Euro 6,6300.0
Dacia,Duster,2018.0,SUV,95000.0,5.0,5.0,Albastru,Benzina,1199.0,125.0,Manuala,4x4 (manual),Euro 6,11500.0
Mercedes-Benz,C,2020.0,Combi,221000.0,5.0,5.0,Negru,Hibrid Plug-In,1950.0,194.0,Automata,Spate,Euro 6,20990.0
Audi,A5,2017.0,Sedan,175000.0,5.0,5.0,Gri,Diesel,1968.0,190.0,Automata,Fata,Euro 6,20990.0
Nissan,Qashqai,2018.0,SUV,223899.0,5.0,5.0,Alb,Diesel,1461.0,110.0,Manuala,Fata,Euro 6,14750.0
Mazda,CX-5,2019.0,SUV,176000.0,5.0,5.0,Albastru,Diesel,2191.0,150.0,Automata,Fata,Euro 6,16250.0
Renault,Megane,2017.0,Combi,192000.0,5.0,5.0,Albastru,Diesel,1461.0,110.0,Manuala,Fata,Euro 6,10499.0
Opel,Corsa,2016.0,Masina de oras,195000.0,5.0,5.0,Negru,Benzina,1398.0,90.0,Manuala,Fata,Euro 6,5300.0
Skoda,Superb,2021.0,Combi,185000.0,5.0,5.0,Negru,Hibrid Plug-In,1395.0,217.0,Automata,Fata,Euro 6,14999.0
BMW,X5,2016.0,SUV,206000.0,5.0,7.0,Negru,Benzina,2979.0,306.0,Automata,4x4 (automat),Euro 6b,16500.0
BMW,Seria 3,2019.0,Sedan,56000.0,4.0,5.0,Negru,Benzina,1998.0,258.0,Automata,Spate,Euro 6b,27900.0
Alfa Romeo,Stelvio,2019.0,SUV,139000.0,5.0,5.0,Albastru,Benzina,1995.0,280.0,Automata,4x4 (automat),Euro 6b,22900.0
Volkswagen,Polo,2015.0,Masina de oras,295000.0,5.0,5.0,Alb,Diesel,1422.0,90.0,Manuala,Fata,Euro 6,4990.0
Audi,A4,2011.0,Sedan,206123.0,4.0,5.0,Negru,Benzina,1798.0,120.0,Manuala,Fata,Euro 5,6990.0
BMW,Seria 5,2015.0,Sedan,208000.0,5.0,5.0,Gri,Diesel,1995.0,190.0,Automata,Spate,Euro 6,13950.0
BMW,Seria 1,2009.0,Compacta,248000.0,5.0,5.0,Negru,Diesel,1995.0,177.0,Manuala,Spate,Euro 5,4990.0
BMW,Seria 3,2013.0,Combi,265000.0,2.0,2.0,Alb,Diesel,1995.0,183.0,Automata,Spate,Euro 5,8100.0
Peugeot,308,2008.0,Compacta,216000.0,5.0,5.0,Galben/Auriu,Diesel,1560.0,110.0,Automata,Fata,Euro 4,3490.0
Citroën,C8,2012.0,Monovolum,295000.0,5.0,7.0,Gri,Diesel,1997.0,136.0,Manuala,Fata,Euro 5,4550.0
Audi,A1,2020.0,Masina de oras,115000.0,4.0,5.0,Alb,Benzina,999.0,95.0,Manuala,Fata,Euro 6,12450.0
Volvo,V60,2020.0,Combi,132000.0,5.0,5.0,Alb,Benzina,1969.0,190.0,Automata,Fata,Euro 6d,18500.0
Dacia,Duster,2011.0,SUV,225394.0,5.0,5.0,Negru,Diesel,1461.0,109.0,Manuala,4x4 (manual),Euro 5,7500.0
Subaru,Impreza,2011.0,Compacta,250000.0,5.0,5.0,Negru,Diesel,1998.0,150.0,Manuala,4x4 (automat),Euro 5,2800.0
Ford,Mondeo,2021.0,Sedan,72000.0,5.0,5.0,Albastru,Diesel,1997.0,150.0,Automata,Fata,Euro 6,16790.0
Audi,A7,2015.0,Sedan,325000.0,5.0,5.0,Negru,Diesel,2967.0,326.0,Automata,4x4 (automat),Euro 6,21500.0
Audi,A6,2021.0,Combi,218000.0,5.0,5.0,Negru,Hibrid Plug-In,1984.0,299.0,Automata,4x4 (automat),Euro 6,24650.0
Ford,Fiesta,2010.0,Masina de oras,298400.0,5.0,5.0,Gri,Diesel,1560.0,95.0,Manuala,Fata,Euro 5,3490.0
Jaguar,XE,2021.0,Sedan,177957.0,4.0,5.0,Negru,Diesel,1998.0,204.0,Automata,Spate,Euro 6b,17999.0
Peugeot,208,2023.0,Masina de oras,40000.0,5.0,5.0,Gri,Benzina,1199.0,101.0,Automata,Fata,Euro 6d,15500.0
Citroën,Jumper,2022.0,Monovolum,199400.0,4.0,7.0,Alb,Diesel,2179.0,140.0,Manuala,Fata,Euro 6d,19995.25
Volkswagen,Passat,2015.0,Sedan,245000.0,5.0,5.0,Negru,Diesel,1968.0,150.0,Manuala,Fata,Euro 6,10800.0
Land Rover,Range Rover Evoque,2012.0,SUV,342000.0,5.0,5.0,Alb,Diesel,2179.0,190.0,Automata,4x4 (automat),Euro 5,12350.0
BMW,X1,2018.0,SUV,109000.0,5.0,5.0,Alb,Diesel,1995.0,149.0,Automata,4x4 (automat),Euro 6,25200.0
Toyota,Corolla Verso,2005.0,Monovolum,253050.0,5.0,7.0,Argint,Benzina,1794.0,129.0,Manuala,Fata,Euro 5,2200.0
Volkswagen,Golf,2015.0,Masina de oras,175000.0,5.0,5.0,Gri,Benzina,1197.0,110.0,Manuala,Fata,Euro 6,6900.0
Citroën,C3,2017.0,Masina mica,87258.0,5.0,5.0,Alb,Benzina,1199.0,82.0,Manuala,Fata,Euro 6,7000.0
Nissan,Juke,2012.0,SUV,191358.0,5.0,5.0,Maro,Benzina,1598.0,117.0,Manuala,Fata,Euro 5,5550.0
Skoda,Octavia,2022.0,Combi,118690.0,5.0,5.0,Negru,Diesel,1968.0,150.0,Automata,Fata,Euro 6,19965.0
Hyundai,Tucson,2021.0,SUV,99950.0,5.0,5.0,Gri,Hibrid Plug-In,1598.0,180.0,Automata,4x4 (automat),Euro 6,28998.86
Volkswagen,Touareg,2016.0,SUV,205000.0,5.0,5.0,Alb,Diesel,2967.0,262.0,Automata,4x4 (automat),Euro 6,19700.0
Hyundai,Tucson,2019.0,SUV,189000.0,5.0,5.0,Albastru,Diesel,1685.0,116.0,Manuala,Fata,Euro 6b,12900.0
Opel,Astra,2013.0,Combi,224290.0,5.0,5.0,Gri,Diesel,1686.0,130.0,Manuala,Fata,Euro 5,4550.0
Volvo,XC 40,2023.0,SUV,43500.0,5.0,5.0,Gri,Benzina,1477.0,129.0,Automata,Fata,Euro 6d,30000.0
Renault,Laguna,2009.0,Sedan,180700.0,5.0,5.0,Gri,Diesel,1461.0,110.0,Manuala,Fata,Euro 4,3790.0
BMW,Seria 3,2022.0,Sedan,72720.0,4.0,5.0,Negru,Benzina,1998.0,184.0,Automata,Spate,Euro 6,35989.0
Volvo,XC 60,2020.0,SUV,138000.0,5.0,5.0,Gri,Hibrid Plug-In,1969.0,303.0,Automata,4x4 (automat),Euro 6,33000.0
BMW,X1,2013.0,SUV,210000.0,5.0,5.0,Alb,Diesel,1995.0,184.0,Automata,4x4 (automat),Euro 5,11990.0
Audi,A5,2015.0,Sedan,193000.0,5.0,5.0,Gri,Diesel,1968.0,150.0,Automata,Fata,Euro 5,12800.0
Skoda,Octavia,2021.0,Sedan,150000.0,5.0,5.0,Alb,Diesel,1968.0,150.0,Automata,Fata,Euro 6,17990.0
Ford,Kuga,2021.0,SUV,60000.0,5.0,5.0,Albastru,Diesel,1499.0,120.0,Automata,Fata,Euro 6,17990.0
Renault,Kadjar,2017.0,SUV,30000.0,5.0,5.0,Gri,Benzina,1197.0,130.0,Automata,Fata,Euro 6,14490.0
Ford,Fiesta,2008.0,Compacta,170000.0,5.0,5.0,Gri,Diesel,1399.0,68.0,Manuala,Fata,Euro 4,2790.01
Suzuki,Vitara,1993.0,SUV,169000.0,3.0,4.0,Alb,Benzina,1598.0,80.0,Manuala,4x4 (manual),Euro 2,3999.0
Volkswagen,Scirocco,2013.0,Coupe,200000.0,3.0,4.0,Alb,Diesel,1968.0,140.0,Automata,Fata,Euro 5,10990.0
Honda,HR-V,2017.0,SUV,198000.0,5.0,5.0,Alb,Diesel,1597.0,120.0,Manuala,Fata,Euro 6,11599.0
Renault,Megane,2021.0,Combi,153400.0,5.0,5.0,Gri,Diesel,1461.0,116.0,Automata,Fata,Euro 6,10950.0
Ford,Focus,2005.0,Compacta,275824.0,4.0,5.0,Albastru,Benzina,1596.0,100.0,Manuala,Fata,Euro 4,1899.0
Ford,Focus,2019.0,Compacta,68000.0,4.0,5.0,Albastru,Benzina,999.0,125.0,Manuala,Fata,Euro 6,12000.0
BMW,Seria 3,2022.0,Combi,127775.0,5.0,5.0,Negru,Diesel,1995.0,190.0,Automata,4x4 (automat),Euro 6,24500.0
Mercedes-Benz,GLA,2021.0,SUV,59058.0,5.0,5.0,Negru,Diesel,1950.0,150.0,Automata,4x4 (automat),Euro 6,29499.8
Mitsubishi,ASX,2015.0,SUV,240000.0,5.0,5.0,Maro,Diesel,2268.0,150.0,Automata,4x4 (automat),Euro 6,8550.0
Renault,Captur,2017.0,SUV,176000.0,5.0,5.0,Negru,Diesel,1461.0,90.0,Automata,Fata,Euro 6,7500.0
Audi,A3,2012.0,Compacta,282400.0,5.0,5.0,Negru,Diesel,1598.0,105.0,Automata,Fata,Euro 5,7390.0
Volkswagen,Passat,2016.0,Sedan,270000.0,5.0,5.0,Maro,Diesel,1968.0,150.0,Automata,Fata,Euro 6,15700.0
Volkswagen,Polo,2013.0,Masina de oras,203500.0,5.0,5.0,Gri,Diesel,1199.0,75.0,Manuala,Fata,Euro 5,4990.0
Renault,Espace,2015.0,Monovolum,191000.0,5.0,7.0,Gri,Diesel,1598.0,160.0,Automata,Fata,Euro 6,11590.0
BMW,Seria 3,2020.0,Sedan,209000.0,4.0,5.0,Gri,Benzina,1998.0,184.0,Automata,Spate,Euro 6b,25034.9
Volkswagen,Passat,2008.0,Sedan,262200.0,4.0,5.0,Negru,Diesel,1968.0,140.0,Automata,Fata,Euro 4,5990.0
Audi,Q5,2014.0,SUV,243000.0,5.0,5.0,Gri,Diesel,1968.0,150.0,Manuala,4x4 (manual),Euro 6,11490.0
Renault,Kangoo,2016.0,Monovolum,85400.0,5.0,2.0,Alb,Diesel,1461.0,90.0,Manuala,Fata,Euro 5b,7990.0
Renault,Talisman,2019.0,Sedan,130000.0,4.0,5.0,Alb,Diesel,1997.0,160.0,Automata,Fata,Euro 6,18990.0
Fiat,Doblo,2017.0,Monovolum,124000.0,5.0,2.0,Alb,Diesel,1248.0,95.0,Manuala,Fata,Euro 6,8390.0
Renault,Megane,2018.0,Combi,172500.0,5.0,5.0,Albastru,Diesel,1461.0,90.0,Manuala,Fata,Euro 6,9990.0
Audi,A4,2018.0,Combi,191000.0,5.0,5.0,Alb,Diesel,1968.0,150.0,Automata,Fata,Euro 6,14290.0
Renault,Megane,2018.0,Sedan,64500.0,4.0,5.0,Gri,Benzina,1198.0,130.0,Manuala,Fata,Euro 6,10850.0
Volkswagen,Tiguan,2020.0,SUV,173000.0,5.0,5.0,Gri,Diesel,1968.0,150.0,Automata,Fata,Euro 6,21490.0
Mercedes-Benz,GLC,2020.0,SUV,153250.0,5.0,5.0,Gri,Diesel,1950.0,194.0,Automata,4x4 (automat),Euro 6b,31499.0
Fiat,Doblo,2014.0,Monovolum,220100.0,5.0,2.0,Alb,Diesel,1248.0,90.0,Manuala,Fata,Euro 6b,5590.0
Mercedes-Benz,E,2013.0,Sedan,441000.0,4.0,5.0,Bej,Diesel,2143.0,136.0,Automata,Spate,Euro 5,6590.0
Ford,Fiesta,2021.0,Masina de oras,112000.0,5.0,5.0,Alb,Benzina,999.0,100.0,Manuala,Fata,Euro 6,8950.0
BMW,Seria 5,2016.0,Sedan,165000.0,4.0,5.0,Negru,Diesel,1995.0,190.0,Automata,4x4 (automat),Euro 6,18290.0
Mercedes-Benz,GLE,2021.0,SUV,169000.0,5.0,5.0,Albastru,Diesel,2925.0,272.0,Automata,4x4 (automat),Euro 6d-Temp,47980.13
Volkswagen,Passat,2019.0,Sedan,206000.0,4.0,5.0,Gri,Diesel,1968.0,150.0,Automata,Fata,Euro 6,18499.0
Audi,A6,2011.0,Sedan,267900.0,5.0,5.0,Alb,Diesel,1968.0,170.0,Manuala,Fata,Euro 5,8390.0
BMW,X5,2021.0,SUV,169000.0,5.0,5.0,Alb,Hibrid Plug-In,2998.0,394.0,Automata,4x4 (manual),Euro 6d,50820.0
BMW,X1,2015.0,SUV,77250.0,5.0,5.0,Gri,Diesel,1995.0,143.0,Automata,4x4 (automat),Euro 5b,12700.0
BMW,Seria 3,2013.0,Sedan,275000.0,5.0,5.0,Negru,Diesel,1995.0,143.0,Manuala,Spate,Euro 5,8498.0
BMW,X4,2024.0,SUV,13000.0,5.0,5.0,Gri,Diesel,1995.0,190.0,Automata,Fata,Euro 6,47990.0
Ford,Puma,2021.0,SUV,89000.0,5.0,5.0,Alb,Benzina,999.0,125.0,Manuala,Fata,Euro 6,13950.0
Mercedes-Benz,GLE,2021.0,SUV,60800.0,5.0,5.0,Alb,Diesel,2925.0,272.0,Automata,4x4 (automat),Euro 6,64899.56
Mercedes-Benz,E,2024.0,Sedan,18454.0,4.0,5.0,Negru,Hibrid Plug-In,1999.0,252.0,Automata,4x4 (automat),Euro 6d,90521.31
Peugeot,3008,2019.0,SUV,169400.0,5.0,5.0,Gri,Benzina,1199.0,131.0,Automata,Fata,Euro 6,14990.0
Volkswagen,Amarok,2018.0,SUV,241001.0,5.0,5.0,Alb,Diesel,2967.0,258.0,Automata,4x4 (automat),Euro 6,23490.0
Alfa Romeo,Stelvio,2019.0,SUV,194000.0,5.0,5.0,Gri,Diesel,2143.0,210.0,Automata,4x4 (manual),Euro 6,19500.0
Volkswagen,T-Roc,2021.0,SUV,153217.0,5.0,5.0,Gri,Diesel,1968.0,150.0,Automata,Fata,Euro 6,18400.0
Seat,Leon,2007.0,Compacta,260435.0,5.0,5.0,Negru,Benzina,1595.0,102.0,Manuala,Fata,Euro 4,2400.0
Volkswagen,Tiguan,2020.0,SUV,105000.0,5.0,5.0,Alb,Benzina,1498.0,150.0,Automata,Fata,Euro 6,19890.0
Mercedes-Benz,A,2024.0,Compacta,19000.0,5.0,5.0,Gri,Hibrid Plug-In,1332.0,218.0,Automata,Fata,Euro 6,38990.0
Mercedes-Benz,AMG,2025.0,Coupe,11245.0,2.0,4.0,Negru,Benzina,3982.0,584.0,Automata,4x4 (automat),Euro 6,184999.32
Volvo,XC 90,2016.0,SUV,251579.0,5.0,7.0,Negru,Hibrid Plug-In,1969.0,408.0,Automata,4x4 (automat),Euro 6,23500.0
Audi,Q3,2019.0,SUV,219243.0,5.0,5.0,Negru,Benzina,1498.0,150.0,Automata,Fata,Euro 6,17800.0
Opel,Corsa,2023.0,Masina de oras,100000.0,5.0,5.0,Alb,Benzina,1199.0,75.0,Manuala,Fata,Euro 6,8490.0
Renault,Megane,2021.0,Compacta,154007.0,5.0,5.0,Gri,Diesel,1461.0,116.0,Automata,Fata,Euro 6d,14490.0
Suzuki,Vitara,2021.0,SUV,37400.0,5.0,5.0,Gri,Benzina,1373.0,129.0,Manuala,Fata,Euro 6,15999.0
Ford,Focus,2021.0,Compacta,29000.0,4.0,5.0,Albastru,Diesel,1499.0,120.0,Manuala,Fata,Euro 6,11950.0
Audi,Q5,2018.0,SUV,179000.0,5.0,5.0,Alb,Diesel,1968.0,190.0,Automata,4x4 (automat),Euro 6,23990.0
Volkswagen,Tiguan,2010.0,SUV,243000.0,5.0,5.0,Negru,Diesel,1968.0,140.0,Automata,Fata,Euro 6,7990.0
BMW,X5 M,2017.0,SUV,210000.0,5.0,5.0,Negru,Diesel,2993.0,381.0,Automata,4x4 (automat),Euro 6,21990.0
Hyundai,ix35,2015.0,SUV,172000.0,5.0,5.0,Negru,Benzina,1591.0,135.0,Manuala,Fata,Euro 6b,9900.0
Audi,A3,2013.0,Compacta,148000.0,5.0,5.0,Negru,Diesel,1598.0,105.0,Automata,Fata,Euro 5,6500.0
Audi,A6,2019.0,Sedan,236712.0,4.0,5.0,Negru,Diesel,2967.0,286.0,Automata,4x4 (automat),Euro 6,25989.59
Ford,Transit,2019.0,Monovolum,54323.0,5.0,7.0,Alb,Diesel,1995.0,130.0,Manuala,Fata,Euro 6,22990.0
Chevrolet,Spark,2012.0,Masina de oras,115000.0,5.0,5.0,Verde,Benzina,1206.0,82.0,Manuala,Fata,Euro 5,3390.0
BMW,Seria 5,2017.0,Combi,175675.0,5.0,5.0,Negru,Diesel,1995.0,163.0,Automata,Spate,Euro 6,17990.0
Volkswagen,Passat,2015.0,Sedan,215460.0,4.0,5.0,Alb,Diesel,1598.0,120.0,Manuala,Fata,Euro 6,10490.0
Skoda,Scala,2021.0,Sedan,186367.0,5.0,5.0,Gri,Benzina,999.0,110.0,Automata,Fata,Euro 6,12990.0
Volkswagen,Multivan,2017.0,Monovolum,244000.0,5.0,7.0,Albastru,Diesel,1968.0,150.0,Automata,4x4 (automat),Euro 6,24990.0
Audi,S5,2017.0,Coupe,130000.0,2.0,4.0,Albastru,Benzina,2995.0,353.0,Automata,4x4 (automat),Euro 6,29900.0
Opel,Astra,2005.0,Compacta,107000.0,4.0,5.0,Gri,Diesel,1686.0,80.0,Manuala,Fata,Euro 4,2950.0
Ford,Transit,2020.0,Monovolum,131000.0,5.0,3.0,Alb,Diesel,1995.0,130.0,Manuala,Fata,Euro 6,18143.95
Audi,A6,2021.0,Combi,162228.0,5.0,5.0,Alte culori,Diesel,2967.0,286.0,Automata,4x4 (automat),Euro 6d,28490.0
Skoda,Fabia,2017.0,Combi,487191.0,5.0,5.0,Alb,Diesel,1422.0,90.0,Manuala,Fata,Euro 6,4450.0
Volkswagen,Passat,2010.0,Combi,360000.0,5.0,5.0,Albastru,Diesel,1968.0,143.0,Manuala,Fata,Euro 5,5500.0
Dacia,Duster,2018.0,SUV,210000.0,5.0,6.0,Negru,Benzina,1598.0,114.0,Manuala,Fata,Euro 6,9440.0
Ford,S-Max,2009.0,Monovolum,261408.0,5.0,7.0,Gri,Diesel,1753.0,125.0,Manuala,Fata,Euro 4,3499.0
Mercedes-Benz,V,2018.0,Monovolum,226000.0,4.0,7.0,Gri,Diesel,2143.0,190.0,Automata,4x4 (automat),Euro 6,36900.0
Audi,A4,2022.0,Sedan,44000.0,4.0,5.0,Alb,Benzina,1984.0,150.0,Automata,Fata,Euro 6,30900.0
Ford,Focus,2007.0,Compacta,260000.0,5.0,5.0,Argint,Diesel,1560.0,90.0,Manuala,Fata,Euro 4,1690.0
Renault,Megane,2016.0,Combi,232680.0,5.0,5.0,Albastru,Diesel,1461.0,110.0,Automata,Fata,Euro 6,8200.0
Peugeot,5008,2021.0,SUV,37521.0,5.0,7.0,Albastru,Benzina,1598.0,180.0,Automata,Fata,Euro 6,28900.0
Volkswagen,Golf,2008.0,Compacta,192500.0,3.0,5.0,Alb,Benzina,1984.0,230.0,Automata,Fata,Euro 4,11700.0
Opel,Astra,2010.0,Masina mica,193750.0,5.0,5.0,Negru,Benzina,1398.0,100.0,Manuala,Fata,Euro 5,4399.0
Audi,Q7,2021.0,SUV,92807.0,5.0,5.0,Negru,Hibrid Plug-In,2995.0,380.0,Automata,4x4 (automat),Euro 6d-Temp,49150.0
Renault,Kadjar,2018.0,SUV,142809.0,5.0,5.0,Albastru,Diesel,1461.0,110.0,Automata,Fata,Euro 6,14499.0
Renault,Espace,2018.0,Monovolum,166910.0,5.0,7.0,Negru,Diesel,1598.0,160.0,Automata,Fata,Euro 6b,15980.0
Seat,Leon,2019.0,Compacta,87648.0,5.0,5.0,Albastru,Benzina,1498.0,130.0,Manuala,Fata,Euro 6d-Temp,13900.0
Mercedes-Benz,E,2021.0,Sedan,54200.0,5.0,5.0,Alb,Diesel,1597.0,160.0,Automata,Spate,Euro 6d,30990.0
BMW,Seria 1,2010.0,Compacta,271896.0,5.0,5.0,Negru,Diesel,1995.0,204.0,Automata,Spate,Euro 5,6650.0
Renault,Espace,2018.0,Monovolum,219990.0,5.0,7.0,Gri,Diesel,1598.0,160.0,Automata,Fata,Euro 6,13999.0
Opel,Astra,2015.0,Combi,215322.0,5.0,5.0,Maro,Diesel,1598.0,110.0,Manuala,Fata,Euro 6b,5699.0
BMW,X3,2019.0,SUV,158000.0,5.0,5.0,Maro,Diesel,1995.0,190.0,Automata,4x4 (automat),Euro 6,27999.0
Volkswagen,Golf,2021.0,Combi,226700.0,5.0,5.0,Gri,Diesel,1968.0,150.0,Automata,Fata,Euro 6,18500.0
BMW,X5,2020.0,SUV,85000.0,5.0,5.0,Gri,Hibrid Plug-In,2998.0,394.0,Automata,4x4 (automat),Euro 6,49900.0
BMW,Seria 7,2024.0,Sedan,29660.0,4.0,5.0,Gri,Diesel,2993.0,299.0,Automata,4x4 (manual),Euro 6,114999.61
Mercedes-Benz,GLE Coupe,2025.0,SUV,9550.0,5.0,5.0,Alb,Hibrid Plug-In,2999.0,544.0,Automata,4x4 (manual),Euro 6,120000.54
Ford,Puma,2024.0,SUV,16905.0,5.0,5.0,Gri,Hibrid,999.0,125.0,Automata,Fata,Euro 6,20000.01
Mercedes-Benz,E,2017.0,Sedan,127500.0,3.0,4.0,Negru,Benzina,1991.0,245.0,Automata,Spate,Euro 6,29500.01
Volvo,XC 90,2020.0,SUV,83362.0,5.0,7.0,Negru,Hibrid Plug-In,1969.0,303.0,Automata,4x4 (automat),Euro 6,45900.0
Audi,Q7,2021.0,SUV,50227.0,5.0,5.0,Negru,Diesel,2967.0,231.0,Automata,4x4 (automat),Euro 6,46999.0
BMW,X3,2014.0,SUV,296000.0,5.0,5.0,Negru,Diesel,1995.0,184.0,Manuala,4x4 (automat),Euro 5,11490.0
Skoda,RAPID,2019.0,Sedan,164000.0,4.0,5.0,Alb,Benzina,999.0,95.0,Manuala,Fata,Euro 6,6897.0
Kia,XCeed,2021.0,SUV,34000.0,5.0,5.0,Albastru,Hibrid Plug-In,1580.0,141.0,Automata,Fata,Euro 6,19999.0
Volvo,XC 40,2019.0,SUV,82631.0,5.0,5.0,Gri,Diesel,1969.0,150.0,Automata,4x4 (automat),Euro 6,26500.21
Kia,Sportage,2022.0,SUV,129320.0,5.0,5.0,Gri,Hibrid,1598.0,230.0,Automata,Fata,Euro 6,25490.0
Volvo,S60,2017.0,Sedan,191700.0,4.0,5.0,Negru,Diesel,1969.0,120.0,Manuala,Fata,Euro 6,10750.0
Peugeot,3008,2022.0,SUV,145596.0,5.0,5.0,Gri,Hibrid Plug-In,1598.0,225.0,Automata,Fata,Euro 6,18290.0
Toyota,Corolla,2019.0,Compacta,82900.0,5.0,5.0,Rosu,Hibrid,1987.0,178.0,Automata,Fata,Euro 6,21875.0
Ford,Fiesta,2016.0,Masina mica,116622.0,5.0,5.0,Argint,Benzina,999.0,100.0,Automata,Fata,Euro 6,7499.58
Seat,Leon,2021.0,Compacta,109290.0,5.0,5.0,Rosu,Benzina,1498.0,130.0,Manuala,Fata,Euro 6,13988.81
Ford,Transit Connect,2018.0,Combi,197000.0,5.0,5.0,Alb,Diesel,1498.0,100.0,Manuala,Fata,Euro 6,8200.0
Renault,Kadjar,2017.0,SUV,77058.0,5.0,5.0,Gri,Benzina,1197.0,130.0,Automata,Fata,Euro 6,13400.0
BMW,X3,2021.0,SUV,101336.0,5.0,5.0,Albastru,Diesel,1995.0,190.0,Automata,4x4 (automat),Euro 6,35500.0
BMW,X6,2020.0,SUV,95000.0,5.0,5.0,Negru,Diesel,2993.0,286.0,Automata,4x4 (manual),Euro 6c,64999.0
Mercedes-Benz,GLB,2024.0,SUV,42600.0,5.0,5.0,Alb,Diesel,1950.0,150.0,Automata,4x4 (automat),Euro 6d,44757.9
Dacia,Duster,2021.0,SUV,151000.0,5.0,5.0,Albastru,Benzina + GPL,999.0,90.0,Manuala,Fata,Euro 6,11999.0
Skoda,Karoq,2021.0,SUV,123435.0,5.0,5.0,Gri,Benzina,1498.0,150.0,Automata,Fata,Euro 6,20490.01
Ford,Focus,2020.0,Compacta,97980.0,5.0,5.0,Albastru,Benzina,999.0,125.0,Automata,Fata,Euro 6b,13297.9
Land Rover,Discovery Sport,2015.0,SUV,143200.0,5.0,5.0,Maro,Diesel,1999.0,180.0,Automata,4x4 (automat),Euro 4,13900.0
Hyundai,i30,2014.0,Compacta,249000.0,3.0,5.0,Gri,Diesel,1582.0,110.0,Manuala,Fata,Euro 5,6490.0
Volkswagen,Touareg,2021.0,SUV,168040.0,5.0,5.0,Gri,Hibrid Plug-In,2995.0,340.0,Automata,4x4 (automat),Euro 6,39600.0
Skoda,RAPID,2015.0,Sedan,131628.0,5.0,5.0,Gri,Benzina,1390.0,122.0,Automata,Fata,Euro 6,9370.0
