make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price
BMW,Seria 5,2021.0,Sedan,227700.0,4.0,5.0,Negru,Benzina,1998.0,252.0,Automata,Spate,Euro 6b,30976.0
Mercedes-Benz,GLC,2016.0,SUV,137000.0,5.0,5.0,Negru,Diesel,2143.0,204.0,Automata,4x4 (automat),Euro 6b,23980.0
Mercedes-Benz,E,2020.0,Sedan,137600.0,4.0,5.0,Albastru,Hibrid Plug-In,1950.0,306.0,Automata,Spate,Euro 6,27499.0
BMW,X2,2019.0,SUV,80686.0,5.0,5.0,Alb,Benzina,1499.0,140.0,Automata,Fata,Euro 6,19490.0
Mercedes-Benz,A,2014.0,Compacta,222376.0,5.0,5.0,Gri,Diesel,1461.0,109.0,Automata,Fata,Euro 5,11390.0
Volkswagen,Tiguan,2013.0,SUV,221000.0,5.0,5.0,Alb,Diesel,1968.0,177.0,Automata,4x4 (automat),Euro 5,13890.0
Opel,Grandland X,2018.0,SUV,211000.0,5.0,5.0,Alb,Diesel,1997.0,177.0,Automata,Fata,Euro 6,12999.0
BMW,X3,2021.0,SUV,120000.0,5.0,5.0,Negru,Hibrid Plug-In,1998.0,292.0,Automata,4x4 (automat),Euro 6,27950.0
Renault,Megane,2019.0,Sedan,121036.0,4.0,5.0,Gri,Benzina,1332.0,140.0,Manuala,Fata,Euro 6,11450.0
Hyundai,ix35,2010.0,SUV,206000.0,5.0,5.0,Gri,Diesel,1995.0,184.0,Automata,4x4 (manual),Euro 5,8499.0
Volvo,XC 60,2015.0,SUV,283000.0,5.0,5.0,Alb,Diesel,1969.0,150.0,Manuala,Fata,Euro 6,11999.0
Volkswagen,Golf,2017.0,Combi,184000.0,5.0,5.0,Gri,Diesel,1968.0,184.0,Automata,Fata,Euro 6,13990.0
BMW,X6,2021.0,SUV,131200.0,5.0,5.0,Maro,Benzina,2998.0,333.0,Automata,4x4 (automat),Euro 6,65969.2
BMW,Seria 7,2017.0,Sedan,198000.0,4.0,5.0,Negru,Benzina,4395.0,450.0,Automata,4x4 (automat),Euro 6,37770.0
Audi,A6,2014.0,Combi,298000.0,5.0,5.0,Argint,Diesel,2967.0,313.0,Automata,4x4 (automat),Euro 5,13500.0
Renault,Megane,2019.0,Combi,160000.0,5.0,5.0,Alb,Diesel,1461.0,116.0,Automata,Fata,Euro 6,10298.31
Renault,Austral,2024.0,SUV,7931.0,5.0,5.0,Negru,Benzina,1332.0,160.0,Automata,Fata,Euro 6,26700.0
Renault,Austral,2024.0,SUV,15334.0,5.0,5.0,Negru,Benzina,1332.0,160.0,Automata,Fata,Euro 6,26300.0
Mercedes-Benz,E,2024.0,Sedan,10006.0,4.0,5.0,Argint,Benzina,1999.0,204.0,Automata,Spate,Euro 6d,64899.56
Audi,Q7,2016.0,SUV,108200.0,5.0,5.0,Negru,Diesel,2967.0,272.0,Automata,4x4 (automat),Euro 6,28990.0
BMW,Seria 5,2021.0,Sedan,120015.0,5.0,5.0,Negru,Diesel,1995.0,190.0,Automata,4x4 (automat),Euro 6,35077.9
Skoda,Octavia,2011.0,Sedan,530575.0,5.0,5.0,Alb,Diesel,1598.0,105.0,Manuala,Fata,Euro 5,2200.0
Mercedes-Benz,GLE Coupe,2017.0,SUV,113600.0,5.0,5.0,Alb,Diesel,2987.0,258.0,Automata,4x4 (automat),Euro 6,43547.9
