make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price,apple_carplay,android_auto,bluetooth,wireless_charging,navigation,internet,usb_port,head_up_display,ac,climatronic,climatronic_2zone,climatronic_3zone,climatronic_4zone,panoramic_roof,electric_sunroof,manual_sunroof,rear_glass_sunroof,upholstery_alcantara,upholstery_leather_mix,upholstery_leather,upholstery_fabric,electric_driver_seat,heated_driver_seat,heated_passenger_seat,ventilated_front_seats,ventilated_rear_seats,memory_seat,front_armrest,sport_steering_wheel,paddle_shifters,keyless_entry,keyless_go,heated_windshield,air_suspension,sport_suspension,predictive_acc,cruise_control,adaptive_cruise,bi_xenon,laser_lights,led_lights,xenon,dynamic_lights,follow_me_home,front_park_sensors,rear_park_sensors,park_assist,auto_park,camera_360,rear_camera,folding_mirrors,blind_spot,lane_assist,distance_control,autonomous_driving,isofix,url
Opel,Astra,2010,Compacta,278 089 km,5,5,Gri,Diesel,1 686 cm3,110 CP,Manuala,Fata,Euro 5,2500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/opel-astra-ver-1-7-cdti-ID7HNxgp.html
Mercedes-Benz,A 180,2020,Compacta,152 150 km,4,,Gri,Benzina,1 332 cm3,136 CP,Automata,,,18990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-a-180-ID7HNxgk.html
Audi,A4,2016,Combi,254 000 km,5,,Argint,Diesel,1 968 cm3,150 CP,Automata,Fata,,11990,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/audi-a4-ver-2-0-tdi-dpf-clean-multitronic-s-line-sportpaket-ID7HNxfC.html
Audi,S5,2018,Cabrio,54 050 km,2,,Albastru,Benzina,2 995 cm3,353 CP,Automata,4x4 (automat),,39000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/audi-s5-ID7HISLQ.html
Volvo,S90,2017,Sedan,197 000 km,4,4,Albastru,Diesel,1 969 cm3,150 CP,Automata,Fata,Euro 6,17500,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/volvo-s90-ver-d3-geartronic-momentum-ID7HNxcP.html
Dacia,Duster,2019,SUV,250 000 km,5,5,Gri,Diesel,1 461 cm3,115 CP,Manuala,4x4 (automat),Euro 6,11500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/dacia-duster-ver-1-5-blue-dci-4wd-prestige-ID7HNxbZ.html
Skoda,Octavia,2015,Combi,305 000 km,5,5,Maro,Diesel,1 968 cm3,184 CP,Automata,,,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/skoda-octavia-ID7HNxdv.html
Volkswagen,Golf,2008,Compacta,249 000 km,5,5,Gri,Diesel,1 896 cm3,105 CP,Manuala,Fata,,2499,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ver-1-9-tdi-dpf-comfortline-bluemotion-ID7HNvCE.html
Hyundai,i20,2010,Masina de oras,220 000 km,5,5,Alb,Benzina,1 248 cm3,78 CP,Manuala,Fata,,1100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/hyundai-i20-ver-1-2-economy-ID7HNvZE.html
Peugeot,508,2023,Sedan,210 000 km,5,,Albastru,Diesel,1 499 cm3,130 CP,Automata,Fata,,15900,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/peugeot-508-ver-bluehdi-130-eat8-allure-pack-ID7HLnLm.html
Skoda,Octavia,2018,Sedan,124 566 km,5,5,Alb,Diesel,1 968 cm3,150 CP,Automata,4x4 (automat),Euro 6d,15400,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/skoda-octavia-ver-2-0-tdi-dsg-style-ID7HLnKm.html
